Generation,Fitness_RectangleQuality,Fitness_CorridorQuality,Fitness_ConnectedQuality,SumOfSpaceFitnessScore,Fitness_MainPathQuality,Fitness_Defense,Fitness_OnMainPath_EnemyTrap,Fitness_OnMainPath_Treasure,Fitness_BesideMainPath_EnemyTrap,Fitness_BesideMainPath_Treasure,Fitness_TwoPronged,SumOfGameObjectFitnessScore,Fitness_Defense_Space,Fitness_Defense_GameObject
0.0,0.241230874,0.1937620097,0.3499376986,0.1970561928,0.2619444444,0.363943454,0.11625,0.22,0.0632797618,0.152500001,0.0181216668,0.31294395,0.574553573,0.153333321
1.0,0.392439772,0.1389587235,0.692219785,0.36155318,0.3266666664,0.454552582,0.1525,0.17,0.0950208351,0.097928572,0.0275057261,0.390609621,0.617994049,0.291111091
2.0,0.606975307,0.0876174966,0.82490339,0.477292899,0.3286111156,0.5202629,0.1125,0.15,0.0982351203,0.064738095,0.0253165315,0.424436998,0.654970237,0.385555536
3.0,0.769496801,0.0397721634,0.926979434,0.565492091,0.368611109,0.558356153,0.185,0.1,0.0697053596,0.031404762,0.0471531961,0.463483635,0.702267856,0.414444426
4.0,0.80416136,0.0257931217,0.930977371,0.578379586,0.398333326,0.601805568,0.19,0.01,0.0791309545,0.014571428,0.0454862097,0.500069459,0.735833331,0.46777777
5.0,0.830842864,0.0046963563,0.931853161,0.587565327,0.399444451,0.657256961,0.16,0.0,0.0999523819,0.0,0.072491083,0.528350691,0.745625,0.568888888
6.0,0.843852109,0.0040897435,0.936560607,0.593470901,0.40750001,0.710069476,0.1625,0.0,0.1322619043,0.0,0.0835929098,0.558784723,0.75125,0.668888914
7.0,0.854883131,0.0015526316,0.942636359,0.599173165,0.413888906,0.745312532,0.16625,0.0,0.1628392853,0.0,0.1086137776,0.579600699,0.750625,0.740000026
8.0,0.84372736,0.0030654525,0.986868687,0.610198684,0.414166674,0.774826393,0.19375,0.0,0.1780952383,0.0,0.1224991257,0.59449653,0.751875,0.797777798
9.0,0.864936084,0.0031728489,1.0,0.621645363,0.411111124,0.799756931,0.18625,0.0,0.1913809523,0.0,0.1218235203,0.605434023,0.750625,0.848888904
10.0,0.88990627,0.001025641,1.0,0.629968757,0.418333341,0.819201363,0.14125,0.0,0.2029583333,0.0,0.1284711961,0.61876733,0.750625,0.887777789
11.0,0.904810109,0.0,1.0,0.634936706,0.420277796,0.834999968,0.14875,0.0,0.201839288,0.0,0.1243173331,0.627638843,0.75,0.920000008
12.0,0.919277138,0.0,1.0,0.639759061,0.423611119,0.840555528,0.145,0.0,0.210529764,0.0,0.1219134684,0.632083291,0.75,0.931111118
