Generation,ChromosomeIndex,Fitness_RectangleQuality,Fitness_CorridorQuality,Fitness_ConnectedQuality,Fitness_SumOfFitnessScore
Weight,-->,0,1,1,
Tactic_Bait,Tactic_Ambush,Tactic_TwoProngedAttack,Tactic_Defense,Tactic_Clash,
False * 1,False * 1,False * 1,True * 1,False * 1,
0,0,0.173913,0.2173913,0.1176471,0.1116794
0,1,0.4736842,0.07894737,0.7142857,0.264411
0,2,0,0.1428571,0.03846154,0.06043956
0,3,0.5142857,0,0.04761905,0.01587302
0,4,0.137931,0.137931,0.2083333,0.1154215
0,5,0.2941177,0.1176471,0.2916667,0.1364379
0,6,0.3571429,0.2142857,0.1764706,0.1302521
0,7,0,0.3125,0.4074074,0.2399691
0,8,0.2424242,0.06060606,0.5,0.1868687
0,9,0.4102564,0.2307692,0.7619048,0.3308913
0,10,0.2307692,0.1538462,0.1111111,0.08831909
0,11,0.2857143,0.07142857,0.15,0.07380953
0,12,0.2962963,0.1481481,0.368421,0.1721897
0,13,0.4444444,0.1111111,1,0.3703704
0,14,0.3225806,0.2903226,0.8888889,0.3930705
0,15,0.368421,0.131579,0.5652174,0.2322654
0,16,0.5925926,0.1481481,0.3333333,0.1604938
0,17,0.4117647,0.05882353,0.7727273,0.2771836
0,18,0.3888889,0.05555556,0.3333333,0.1296296
0,19,0.1538462,0.3076923,0.1578947,0.1551957
0,20,0.3636364,0.2121212,0.1,0.1040404
0,21,0.1333333,0.3666667,0.4,0.2555556
0,22,0.4137931,0.137931,0.4444444,0.1941252
0,23,0.2857143,0.1428571,0.3333333,0.1587302
0,24,0.4444444,0,0.05555556,0.01851852
0,25,0.1666667,0.2777778,0.3461539,0.2079772
0,26,0.1935484,0.2258064,0.3636364,0.1964809
0,27,0,0.375,0.05263158,0.1425439
0,28,0.2142857,0.07142857,0.4090909,0.1601732
0,29,0.1290323,0.1290323,0.3076923,0.1455749
0,30,0.1764706,0.1764706,0.6,0.2588235
0,31,0.173913,0.3478261,0.0625,0.1367754
0,32,0.4054054,0.1621622,0.6666667,0.2762763
0,33,0.2647059,0.2352941,0.6363636,0.2905526
0,34,0,0.25,0.1428571,0.1309524
0,35,0.3823529,0.1176471,0.6190476,0.2455649
0,36,0.4705882,0.1764706,0.5789474,0.251806
0,37,0.1818182,0.1212121,0.6923077,0.2711733
0,38,0.2285714,0.2285714,0.4,0.2095238
0,39,0.125,0.3125,0.3478261,0.2201087
0,40,0.1290323,0.1290323,0.2692308,0.1327543
0,41,0.4,0.3714286,0.5,0.2904762
0,42,0.2352941,0.3235294,0.8181818,0.3805704
0,43,0.3030303,0.1212121,0.7391304,0.2867809
0,44,0.375,0.28125,0.2777778,0.1863426
0,45,0.1290323,0.1935484,0.2,0.1311828
0,46,0.5789474,0.1842105,0.4705882,0.2182662
0,47,0.2162162,0.1351351,0.2857143,0.1402831
