Generation,Fitness_RectangleQuality,Fitness_CorridorQuality,Fitness_ConnectedQuality,SumOfSpaceFitnessScore,Fitness_MainPathQuality,Fitness_Defense,Fitness_OnMainPath_EnemyTrap,Fitness_OnMainPath_Treasure,Fitness_BesideMainPath_EnemyTrap,Fitness_BesideMainPath_Treasure,Fitness_TwoPronged,SumOfGameObjectFitnessScore,Fitness_Defense_Space,Fitness_Defense_GameObject
0.0,0.270510053,0.1926402015,0.3625997472,0.1208665826,0.2447368471,0.36483631,0.08875,0.24,0.0350208336,0.084333333,0.0069047617,0.30478657,0.636339289,0.093333325
1.0,0.320522555,0.113315486,0.763226972,0.254408992,0.3086842098,0.49683333,0.09625,0.01,0.046187501,0.008333333,0.008571428,0.402758768,0.780333334,0.213333314
2.0,0.374291539,0.084637526,0.889383849,0.29646129,0.350263161,0.533854161,0.09375,0.0,0.0686041696,0.01,0.0243843382,0.442058667,0.784375,0.283333308
3.0,0.323351356,0.1033312372,0.927582323,0.309194117,0.362894738,0.568923604,0.12125,0.0,0.0505625012,0.0,0.0102958678,0.465909169,0.785625,0.352222192
4.0,0.324507058,0.0952879424,0.935313462,0.311771156,0.382894735,0.582534726,0.08875,0.0,0.0517708336,0.0,0.011782211,0.482714735,0.790625,0.374444421
5.0,0.365432465,0.078962495,0.950035507,0.316678496,0.401315776,0.602708342,0.09375,0.0,0.0545625013,0.0,0.0177499482,0.502012061,0.75875,0.446666647
6.0,0.358939524,0.0866405042,0.966155283,0.32205177,0.407894713,0.629444446,0.11625,0.0,0.0365208347,0.0,0.0032924827,0.518669573,0.75,0.508888873
7.0,0.307211018,0.0816722233,0.973570926,0.324523649,0.389210513,0.669756977,0.10375,0.0,0.0357916679,0.0,0.002578197,0.529483729,0.750625,0.588888905
8.0,0.374015036,0.0830445382,0.988683481,0.329561138,0.410526291,0.690034763,0.09,0.0,0.0356250007,0.0,0.0030952381,0.550280522,0.755625,0.624444477
9.0,0.467161095,0.075656343,1.0,0.3333333,0.417368393,0.716666725,0.06875,0.0,0.0453750006,0.0,0.002857143,0.567017561,0.75,0.683333365
10.0,0.470843718,0.079066571,1.0,0.3333333,0.411578922,0.727777826,0.06125,0.0,0.0451666671,0.0,0.002857143,0.569678377,0.75,0.705555585
11.0,0.480539926,0.0754914114,1.0,0.3333333,0.399736826,0.746111142,0.05625,0.0,0.0402083341,0.0,0.001904762,0.572923985,0.75,0.742222248
12.0,0.46758113,0.0758428996,1.0,0.3333333,0.382894734,0.773333341,0.05,0.0,0.0322916674,0.0,0.0012890986,0.578114035,0.75,0.796666687
13.0,0.442002806,0.080825855,1.0,0.3333333,0.366052641,0.799444427,0.04625,0.0,0.026125001,0.0,0.0028162922,0.58274853,0.75,0.848888904
14.0,0.41330018,0.083237341,1.0,0.3333333,0.375263167,0.799999982,0.04375,0.0,0.0268125006,0.0,0.0018639112,0.587631583,0.75,0.850000015
15.0,0.410465742,0.088058385,1.0,0.3333333,0.396315798,0.795555546,0.05625,0.0,0.0348541674,0.0,0.0038842168,0.5959357,0.75,0.841111127
16.0,0.388474964,0.0926168262,1.0,0.3333333,0.404210516,0.801111096,0.0675,0.0,0.0270208336,0.0,0.0033094042,0.602660853,0.75,0.852222237
