Generation,ChromosomeIndex,Fitness_MainPathQuality,Fitness_Defense,Fitness_OnMainPath_EnemyTrap,Fitness_OnMainPath_Treasure,Fitness_BesideMainPath_EnemyTrap,Fitness_BesideMainPath_Treasure,Fitness_TwoPronged,Fitness_SumOfFitnessScore,Fitness_Defense_Space,Fitness_Defense_GameObject
Weight,-->,1,0,0,0,0,0,0,,,
min[1/ 1/ 1/ 0/ 1],MAX[1/ 1/ 4/ 1/ 1],,,,,,,,,,
0,0,0.1785714,0.4861111,0.125,0,0,0,0,0.3323413,0.75,0.2222222
0,1,0.07142857,0.5798611,0,0,0,0,0,0.3256449,0.9375,0.2222222
0,2,0.07142857,0.40625,0,0,0,0,0,0.2388393,0.8125,0
0,3,0.5,0.46875,0,0,0.2083333,0,0,0.484375,0.9375,0
0,4,0.4285714,0.5798611,0.125,0,0,0,0,0.5042163,0.9375,0.2222222
0,5,0.1071429,0.21875,0,1,0,0,0,0.1629464,0.4375,0
0,6,0.5357143,0.5486111,0.375,0,0,0,0.07142857,0.5421627,0.875,0.2222222
0,7,0.6071429,0.15625,0.375,1,0.08333334,0,0,0.3816964,0.3125,0
0,8,0.07142857,0.40625,0,0,0,0,0,0.2388393,0.8125,0
0,9,0.5,0.46875,0,0,0,0,0,0.484375,0.9375,0
0,10,0.1428571,0.5104167,0.125,0,0,0.3333333,0,0.3266369,0.6875,0.3333333
0,11,0.5,0.3361111,0,0,0,0.75,0,0.4180555,0.45,0.2222222
0,12,0.1071429,0.4861111,0,0,0,0,0,0.296627,0.75,0.2222222
0,13,0.5,0.2861111,0.25,1,0,0,0,0.3930556,0.35,0.2222222
0,14,0.3571429,0.4375,0.25,0,0,0,0,0.3973214,0.875,0
0,15,0.25,0.40625,0,0,0,0,0,0.328125,0.8125,0
0,16,0.07142857,0.40625,0,0,0,0,0,0.2388393,0.8125,0
0,17,0.3928571,0.2986111,0.125,1,0,0,0,0.3457341,0.375,0.2222222
0,18,0.5714286,0.4548611,0,0,0,0.3333333,0,0.5131449,0.6875,0.2222222
0,19,0.2857143,0.15625,0,1,0,0,0,0.2209821,0.3125,0
0,20,0.2857143,0.15625,0.125,1,0,0,0,0.2209821,0.3125,0
0,21,0.1428571,0.5416667,0,0,0,0,0,0.3422619,0.75,0.3333333
0,22,0.5357143,0.5486111,0.625,0,0,0,0.07142857,0.5421627,0.875,0.2222222
0,23,0.6071429,0.4375,0.25,0,0,0,0,0.5223215,0.875,0
0,24,0.2857143,0.5729167,0,0,0,0,0,0.4293155,0.8125,0.3333333
0,25,0.3571429,0.28125,0.125,0,0,0.6666667,0,0.3191964,0.5625,0
0,26,0.25,0.3541667,0,0,0.05,0.5,0,0.3020833,0.7083334,0
0,27,0.6071429,0.46875,0.375,0,0,0,0,0.5379465,0.9375,0
0,28,0.5,0.1875,0.5,1,0.125,0,0.0952381,0.34375,0.375,0
0,29,0.5714286,0.5798611,0.25,0,0.08333334,0,0,0.5756449,0.9375,0.2222222
0,30,0.5357143,0.15625,0,1,0.125,0,0.1904762,0.3459821,0.3125,0
0,31,0.6428571,0.1875,0.125,1,0,0,0,0.4151786,0.375,0
0,32,0.07142857,0.4375,0,0,0,0,0,0.2544643,0.875,0
0,33,0.2857143,0.40625,0,0,0,0,0,0.3459821,0.8125,0
0,34,0.3928571,0.28125,0.125,0,0,0.6666667,0,0.3370536,0.5625,0
0,35,0.07142857,0.46875,0,0,0,0,0,0.2700893,0.9375,0
0,36,0.5357143,0.4548611,0.125,0,0,0.3333333,0,0.4952877,0.6875,0.2222222
0,37,0.4642857,0.15625,0.125,1,0,0,0,0.3102679,0.3125,0
0,38,0.6428571,0.175,0.125,1,0.2083333,0,0.04761905,0.4089286,0.35,0
0,39,0.1071429,0.46875,0,0,0,0,0,0.2879464,0.9375,0
0,40,0.07142857,0.5486111,0,0,0,0,0,0.3100199,0.875,0.2222222
0,41,0.07142857,0.46875,0,0,0,0,0,0.2700893,0.9375,0
0,42,0.3928571,0.15625,0.125,1,0,0,0,0.2745536,0.3125,0
0,43,0.3928571,0.3298611,0.375,1,0.075,0,0,0.3613591,0.4375,0.2222222
0,44,0.07142857,0.5486111,0,0,0.0625,0,0,0.3100199,0.875,0.2222222
0,45,0.3928571,0.28125,0,0,0.2083333,0.6666667,0.1190476,0.3370536,0.5625,0
0,46,0.5357143,0.46875,0.25,0,0,0,0,0.5022321,0.9375,0
0,47,0.25,0.40625,0.375,0,0,0,0,0.328125,0.8125,0
0,48,0.07142857,0.6597222,0,0,0,0,0,0.3655754,0.875,0.4444444
0,49,0.5357143,0.1875,0.25,1,0,0,0,0.3616071,0.375,0
0,50,0.5357143,0.28125,0.375,0,0,0.6666667,0,0.4084821,0.5625,0
0,51,0.1785714,0.4375,0.125,0,0,0,0,0.3080357,0.875,0
0,52,0.5714286,0.5798611,0.25,0,0.09375,0,0,0.5756449,0.9375,0.2222222
0,53,0.3571429,0.15625,0,1,0.08333334,0,0,0.2566964,0.3125,0
0,54,0.2857143,0.46875,0,0,0,0,0,0.3772321,0.9375,0
0,55,0.07142857,0.40625,0,0,0,0,0,0.2388393,0.8125,0
0,56,0.5,0.2708333,0,0,0.125,1,0,0.3854167,0.5416667,0
0,57,0.4285714,0.5173611,0,0,0.0625,0,0,0.4729663,0.8125,0.2222222
0,58,0.5357143,0.5486111,0.125,0,0.04166667,0,0,0.5421627,0.875,0.2222222
0,59,0.07142857,0.40625,0,0,0.1041667,0,0,0.2388393,0.8125,0
0,60,0.1071429,0.7083334,0,0,0,0,0,0.4077381,0.75,0.6666667
0,61,0.25,0.4375,0.125,0,0,0,0,0.34375,0.875,0
0,62,0.5357143,0.5486111,0.375,0,0,0,0,0.5421627,0.875,0.2222222
0,63,0.5,0.4375,0.125,0,0.1666667,0,0,0.46875,0.875,0
0,64,0.5357143,0.3416667,0.25,1,0,0,0,0.4386905,0.35,0.3333333
0,65,0.3928571,0.4930556,0.375,0,0,0,0.1190476,0.4429563,0.875,0.1111111
0,66,0.5357143,0.46875,0.5,0,0,0,0.0952381,0.5022321,0.9375,0
0,67,0.5714286,0.2673611,0.375,1,0.08333334,0,0,0.4193949,0.3125,0.2222222
0,68,0.5,0.3416667,0,1,0,0,0,0.4208333,0.35,0.3333333
0,69,0.1071429,0.5173611,0,0,0.0625,0,0,0.312252,0.8125,0.2222222
0,70,0.1071429,0.5486111,0,0,0.09375,0,0,0.327877,0.875,0.2222222
0,71,0.5357143,0.5798611,0.375,0,0,0,0,0.5577877,0.9375,0.2222222
0,72,0.5,0.46875,0.125,0,0.1041667,0,0.1428571,0.484375,0.9375,0
0,73,0.07142857,0.5486111,0,0,0,0,0,0.3100199,0.875,0.2222222
0,74,0.25,0.5486111,0.375,0,0,0,0,0.3993056,0.875,0.2222222
0,75,0.3214286,0.1875,0,1,0,0,0,0.2544643,0.375,0
0,76,0.07142857,0.5798611,0,0,0,0,0,0.3256449,0.9375,0.2222222
0,77,0.5,0.15625,0,1,0.0625,0,0,0.328125,0.3125,0
0,78,0.1785714,0.3298611,0,1,0.0625,0,0,0.2542163,0.4375,0.2222222
0,79,0.5357143,0.4375,0.25,0,0.08333334,0,0,0.4866071,0.875,0
0,80,0.5714286,0.4375,0.25,0,0.0625,0,0,0.5044643,0.875,0
0,81,0.3571429,0.4930556,0.25,0,0,0,0.1190476,0.4250992,0.875,0.1111111
0,82,0.2142857,0.40625,0.25,0,0,0,0,0.3102679,0.8125,0
0,83,0.4285714,0.1875,0.125,1,0.08333334,0,0,0.3080357,0.375,0
0,84,0.5357143,0.2986111,0.125,1,0.0625,0,0,0.4171627,0.375,0.2222222
0,85,0.25,0.4375,0,0,0,0,0,0.34375,0.875,0
0,86,0.1071429,0.5173611,0,0,0,0,0,0.312252,0.8125,0.2222222
0,87,0.07142857,0.325,0,0,0,0.25,0,0.1982143,0.65,0
0,88,0.6071429,0.15625,0,1,0,0,0,0.3816964,0.3125,0
0,89,0.1071429,0.5659722,0,0,0.04166667,0,0,0.3365575,0.6875,0.4444444
0,90,0.07142857,0.4930556,0,0,0,0,0,0.2822421,0.875,0.1111111
0,91,0.4642857,0.21875,0.375,1,0.08333334,0,0.0952381,0.3415179,0.4375,0
0,92,0.5,0.1875,0.125,1,0,0,0,0.34375,0.375,0
0,93,0.4285714,0.4375,0.375,0,0,0,0,0.4330357,0.875,0
0,94,0.07142857,0.5486111,0,0,0,0,0,0.3100199,0.875,0.2222222
0,95,0.1071429,0.5486111,0,0,0,0,0,0.327877,0.875,0.2222222
0,96,0.1071429,0.4375,0,0,0,0,0,0.2723214,0.875,0
0,97,0.4642857,0.4097222,0.375,1,0,0,0.1428571,0.437004,0.375,0.4444444
0,98,0.1071429,0.4861111,0,0,0.0625,0,0,0.296627,0.75,0.2222222
0,99,0.1071429,0.5798611,0,0,0.125,0,0,0.343502,0.9375,0.2222222
1,0,0.6428571,0.1875,0.375,1,0,0,0,0.4151786,0.375,0
1,1,0.6428571,0.1875,0.125,1,0,0,0,0.4151786,0.375,0
1,2,0.5357143,0.2986111,0.125,1,0.2291667,0,0,0.4171627,0.375,0.2222222
1,3,0.5357143,0.2986111,0.125,1,0.0625,0,0,0.4171627,0.375,0.2222222
1,4,0.5,0.3361111,0,0,0,0.75,0,0.4180555,0.45,0.2222222
1,5,0.5714286,0.2673611,0.5,1,0.08333334,0,0.07142857,0.4193949,0.3125,0.2222222
1,6,0.5714286,0.2673611,0.375,1,0.08333334,0,0,0.4193949,0.3125,0.2222222
1,7,0.5,0.3416667,0,1,0,0,0,0.4208333,0.35,0.3333333
1,8,0.3571429,0.4930556,0.25,0,0,0,0.1190476,0.4250992,0.875,0.1111111
1,9,0.3571429,0.4930556,0.25,0,0,0,0.04761905,0.4250992,0.875,0.1111111
1,10,0.3571429,0.4930556,0.25,0,0,0,0.1190476,0.4250992,0.875,0.1111111
1,11,0.2857143,0.5729167,0,0,0,0,0,0.4293155,0.8125,0.3333333
1,12,0.2857143,0.5729167,0,0,0,0,0,0.4293155,0.8125,0.3333333
1,13,0.2857143,0.5729167,0,0,0,0,0,0.4293155,0.8125,0.3333333
1,14,0.4285714,0.4375,0.375,0,0,0,0,0.4330357,0.875,0
1,15,0.4642857,0.4097222,0.375,1,0,0,0.1428571,0.437004,0.375,0.4444444
1,16,0.4642857,0.4097222,0.375,1,0,0,0.2380952,0.437004,0.375,0.4444444
1,17,0.4642857,0.4097222,0.375,1,0,0,0.1428571,0.437004,0.375,0.4444444
1,18,0.4642857,0.4097222,0.375,1,0,0,0.1428571,0.437004,0.375,0.4444444
1,19,0.5357143,0.3416667,0.25,1,0,0,0,0.4386905,0.35,0.3333333
1,20,0.6428571,0.2430556,0.375,1,0,0,0,0.4429563,0.375,0.1111111
1,21,0.3928571,0.4930556,0.375,0,0,0,0.1190476,0.4429563,0.875,0.1111111
1,22,0.5357143,0.3541667,0.375,0,0,0.5,0,0.4449405,0.7083334,0
1,23,0.6071429,0.2986111,0.25,1,0,0,0,0.452877,0.375,0.2222222
1,24,0.4642857,0.46875,0,0,0,0,0,0.4665179,0.9375,0
1,25,0.4642857,0.46875,0.125,0,0.04166667,0,0.1428571,0.4665179,0.9375,0
1,26,0.5,0.4375,0.125,0,0.1666667,0,0,0.46875,0.875,0
1,27,0.5,0.4375,0.125,0,0,0,0,0.46875,0.875,0
1,28,0.5,0.4375,0.125,0,0.1666667,0,0,0.46875,0.875,0
1,29,0.5,0.4375,0.125,0,0.1666667,0,0,0.46875,0.875,0
