Generation,ChromosomeIndex,Fitness_RectangleQuality,Fitness_CorridorQuality,Fitness_ConnectedQuality,Fitness_SumOfFitnessScore
Weight,-->,0,1,1,
Tactic_Bait,Tactic_Ambush,Tactic_TwoProngedAttack,Tactic_Defense,Tactic_Clash,
False * 1,False * 1,False * 1,True * 1,False * 1,
1,15,0.5333334,0.2333333,0.5384616,0.257265
1,16,0.2758621,0.1724138,0.6,0.2574713
1,17,0.1666667,0.3333333,0.44,0.2577778
1,18,0.4864865,0.1081081,0.6666667,0.2582583
1,19,0.4210526,0.1578947,0.6190476,0.2589808
1,20,0.1875,0.21875,0.5652174,0.2613225
1,21,0.1875,0.21875,0.5652174,0.2613225
1,22,0.1875,0.21875,0.5652174,0.2613225
1,23,0.3703704,0.2222222,0.5625,0.2615741
1,24,0.3333333,0.2333333,0.5555556,0.262963
1,25,0.3333333,0.2333333,0.5555556,0.262963
1,26,0.3333333,0.2333333,0.5555556,0.262963
1,27,0.3333333,0.2333333,0.5555556,0.262963
1,28,0.3333333,0.2333333,0.5555556,0.262963
1,29,0.3333333,0.1666667,0.625,0.2638889
1,30,0.4666667,0.3,0.5,0.2666667
1,31,0.4102564,0.05128205,0.76,0.2704273
1,32,0.2758621,0,0.8260869,0.2753623
1,33,0.1764706,0.2058824,0.64,0.2819608
1,34,0.2777778,0.1666667,0.68,0.2822222
1,35,0.2777778,0.1666667,0.68,0.2822222
1,36,0.2777778,0.1666667,0.68,0.2822222
1,37,0.5,0.3125,0.5384616,0.2836539
1,38,0.2962963,0.1851852,0.6666667,0.2839506
1,39,0.4242424,0.1212121,0.7368421,0.2860181
1,40,0.4736842,0.1578947,0.7142857,0.2907268
1,41,0.4736842,0.1578947,0.7142857,0.2907268
1,42,0.4736842,0.1578947,0.7142857,0.2907268
1,43,0.4736842,0.1578947,0.7142857,0.2907268
1,44,0.4736842,0.1578947,0.7142857,0.2907268
1,45,0.4736842,0.1578947,0.7142857,0.2907268
1,46,0.4736842,0.1578947,0.7142857,0.2907268
1,47,0.4736842,0.1578947,0.7142857,0.2907268
1,48,0.4736842,0.1578947,0.7142857,0.2907268
1,49,0.5,0.05,0.8260869,0.292029
1,50,0.5,0.05,0.8260869,0.292029
1,51,0.5,0.05,0.8260869,0.292029
1,52,0.4390244,0.04878049,0.8333333,0.2940379
1,53,0.5294118,0.1176471,0.7647059,0.2941177
1,54,0.5294118,0.1176471,0.7647059,0.2941177
1,55,0.5294118,0.1176471,0.7647059,0.2941177
1,56,0.3076923,0.2692308,0.625,0.2980769
1,57,0.3076923,0.2692308,0.625,0.2980769
1,58,0.3076923,0.2692308,0.625,0.2980769
1,59,0.5365854,0.04878049,0.8636364,0.304139
1,60,0.4242424,0.1212121,0.8,0.3070707
1,61,0.2962963,0.2962963,0.625,0.3070988
1,62,0.2962963,0.3333333,0.625,0.3194444
1,63,0.3846154,0.07692308,0.8823529,0.3197587
1,64,0.3333333,0.08333334,0.8823529,0.3218954
1,65,0.16,0.32,0.6470588,0.3223529
1,66,0.32,0.08,0.8888889,0.322963
1,67,0.4444444,0.3333333,0.6470588,0.3267974
