Generation,Fitness_RectangleQuality,Fitness_CorridorQuality,Fitness_ConnectedQuality,SumOfSpaceFitnessScore,Fitness_MainPathQuality,Fitness_Defense,Fitness_OnMainPath_EnemyTrap,Fitness_OnMainPath_Treasure,Fitness_BesideMainPath_EnemyTrap,Fitness_BesideMainPath_Treasure,Fitness_TwoPronged,SumOfGameObjectFitnessScore,Fitness_Defense_Space,Fitness_Defense_GameObject
0.0,0.261426815,0.188130171,0.379525082,0.1892184205,0.3325000059,0.406666666,0.12375,0.27,0.0297916672,0.061666667,0.0130952369,0.36958334,0.700000001,0.113333323
1.0,0.285183412,0.2334071068,0.674546822,0.30265132,0.521428583,0.470194444,0.2525,0.15,0.0424166691,0.039166665,0.0280952347,0.495811521,0.801500002,0.138888875
2.0,0.26316137,0.2411605219,0.829891115,0.357017218,0.56571431,0.546388882,0.26125,0.01,0.0573958353,0.003333333,0.0121428566,0.556051618,0.905,0.187777759
3.0,0.212840931,0.262168297,0.873619953,0.378596096,0.573214312,0.600104157,0.18375,0.0,0.0995833348,0.003333333,0.0104761895,0.586659264,0.926875,0.273333306
4.0,0.169589785,0.300498074,0.875948027,0.392148717,0.573214308,0.636979153,0.155,0.0,0.1113541672,0.0,0.0047619035,0.605096741,0.930625,0.343333299
5.0,0.079587471,0.342714689,0.867909496,0.403541408,0.577142883,0.693993038,0.12625,0.0,0.114375001,0.0,0.002857142,0.635567959,0.936875,0.45111107
6.0,0.064080531,0.392194582,0.862797872,0.418330806,0.582857166,0.704722214,0.13625,0.0,0.1138541666,0.0,0.001428571,0.643789687,0.935,0.474444412
7.0,0.061916232,0.419562345,0.872795575,0.430785966,0.595357161,0.716423615,0.14,0.0,0.1199999986,0.0,0.002380952,0.655890381,0.930625,0.5022222
8.0,0.120552097,0.436538091,0.886660536,0.441066223,0.60035715,0.746875024,0.15125,0.0,0.1118750004,0.0,0.0004761905,0.673616093,0.93375,0.559999997
9.0,0.084296398,0.448680971,0.89622083,0.448300614,0.576785738,0.798194508,0.12625,0.0,0.1090624994,0.0,0.001428571,0.687490119,0.9375,0.65888892
10.0,0.172669305,0.430264919,0.933319002,0.454527969,0.583571453,0.801527844,0.14625,0.0,0.114583332,0.0,0.002857142,0.692549645,0.9375,0.665555589
11.0,0.230915345,0.407668647,0.977989016,0.461885901,0.597857161,0.800416732,0.15,0.0,0.120416666,0.0,0.005714284,0.699136941,0.9375,0.663333367
12.0,0.224780065,0.411392856,0.987685369,0.466359434,0.621071437,0.799861176,0.1675,0.0,0.11875,0.0,0.007142855,0.710466297,0.9375,0.662222256
13.0,0.208141281,0.434959262,0.977877724,0.470945677,0.629285704,0.8020834,0.17375,0.0,0.117083334,0.0,0.008571426,0.715684564,0.9375,0.6666667
14.0,0.187745307,0.444760681,0.990791525,0.478517433,0.6428571,0.8020834,0.17875,0.0,0.112916667,0.0,0.007142855,0.7224703,0.9375,0.6666667
15.0,0.168010754,0.45437996,0.997371148,0.483917063,0.6428571,0.8020834,0.17875,0.0,0.112916667,0.0,0.007142855,0.7224703,0.9375,0.6666667
16.0,0.146406752,0.476530026,0.989900961,0.48881035,0.6428571,0.8020834,0.17875,0.0,0.112916667,0.0,0.007142855,0.7224703,0.9375,0.6666667
17.0,0.112031509,0.513076841,0.984187677,0.499088176,0.6428571,0.8020834,0.17875,0.0,0.112916667,0.0,0.007142855,0.7224703,0.9375,0.6666667
