Generation,Fitness_RectangleQuality,Fitness_CorridorQuality,Fitness_ConnectedQuality,SumOfSpaceFitnessScore,Fitness_MainPathQuality,Fitness_Defense,Fitness_OnMainPath_EnemyTrap,Fitness_OnMainPath_Treasure,Fitness_BesideMainPath_EnemyTrap,Fitness_BesideMainPath_Treasure,Fitness_TwoPronged,SumOfGameObjectFitnessScore,Fitness_Defense_Space,Fitness_Defense_GameObject
0.0,0.26039345,0.1797918848,0.3795602295,0.1265200749,0.2507317031,0.392726199,0.11125,0.23,0.0657827394,0.109119048,0.0300189674,0.321728943,0.608785717,0.176666655
1.0,0.350398053,0.1250734683,0.718562376,0.239520792,0.3009756056,0.490382942,0.14375,0.2,0.0933392853,0.040833333,0.0563236584,0.395679259,0.682988097,0.297777771
2.0,0.353535447,0.150320427,0.88002277,0.293340925,0.2963414575,0.562347225,0.14625,0.31,0.0836577371,0.032,0.0467004847,0.429344339,0.646916668,0.477777776
3.0,0.480115685,0.0997551717,0.971517532,0.323839156,0.2941463476,0.612268856,0.10375,0.14,0.0815074406,0.102,0.0382675276,0.453207588,0.685648809,0.538888885
4.0,0.535252765,0.081179859,1.0,0.3333333,0.303902446,0.658570429,0.13375,0.18,0.100431547,0.062,0.0719062458,0.48123643,0.689363095,0.627777776
5.0,0.53494538,0.0771646854,1.0,0.3333333,0.311219521,0.720909706,0.12875,0.04,0.0977529765,0.072,0.0953809394,0.516064597,0.744041666,0.697777771
6.0,0.53401229,0.0800906962,1.0,0.3333333,0.327317094,0.735486088,0.10625,0.0,0.1104300603,0.03,0.0874335869,0.531401562,0.78875,0.682222207
7.0,0.536627114,0.080423855,1.0,0.3333333,0.308780492,0.788576372,0.15625,0.0,0.1081711338,0.043666666,0.1634011427,0.54867842,0.729375,0.847777786
8.0,0.537625774,0.082726138,1.0,0.3333333,0.319024403,0.819895807,0.165,0.0,0.1439806578,0.0,0.2046758027,0.569460092,0.733125,0.906666676
9.0,0.532029816,0.0741415634,1.0,0.3333333,0.332682948,0.832881915,0.17125,0.0,0.1342261965,0.0,0.2104253763,0.582782414,0.746875,0.918888897
10.0,0.538431038,0.0671687122,1.0,0.3333333,0.355609784,0.840347192,0.12125,0.0,0.1708333454,0.0,0.2548319386,0.597978455,0.75625,0.924444452
11.0,0.54690445,0.0626995634,1.0,0.3333333,0.357804906,0.853124976,0.14125,0.0,0.1726205484,0.0,0.2567854646,0.605464913,0.76625,0.940000006
12.0,0.54561923,0.0606459502,1.0,0.3333333,0.356097581,0.870763872,0.18375,0.0,0.1540788774,0.0,0.2463316353,0.613430711,0.78375,0.957777782
13.0,0.544639888,0.0581353424,1.0,0.3333333,0.360975628,0.877152764,0.185,0.0,0.1560818537,0.0,0.2623044963,0.619064171,0.78875,0.965555559
14.0,0.533085702,0.0546877624,1.0,0.3333333,0.359268316,0.887083324,0.1775,0.0,0.1669434624,0.0,0.2692638753,0.623175784,0.7975,0.976666669
15.0,0.527820792,0.0601682886,1.0,0.3333333,0.363414662,0.89229166,0.15125,0.0,0.1830074541,0.0,0.2700591343,0.627853122,0.80125,0.983333335
16.0,0.53558957,0.0611483626,1.0,0.3333333,0.363170753,0.901041652,0.1575,0.0,0.1766547764,0.0,0.26904961,0.632106173,0.83875,0.963333337
17.0,0.53891435,0.0643254494,1.0,0.3333333,0.365121966,0.907361096,0.1575,0.0,0.1702619174,0.0,0.26315105,0.63624151,0.8525,0.962222226
18.0,0.53709765,0.0679354968,1.0,0.3333333,0.368048788,0.911666656,0.1875,0.0,0.1550803684,0.0,0.256155618,0.639857711,0.85,0.973333336
19.0,0.547873744,0.0666160978,1.0,0.3333333,0.373902444,0.916388872,0.20625,0.0,0.148017867,0.0,0.254176839,0.645145657,0.875,0.957777782
20.0,0.5493991,0.0596796168,1.0,0.3333333,0.371219518,0.924166656,0.21375,0.0,0.142797628,0.0,0.254334085,0.647693074,0.875,0.973333336
21.0,0.551375868,0.0645809956,1.0,0.3333333,0.369024397,0.931388884,0.2275,0.0,0.134946436,0.0,0.252684784,0.650206616,0.875,0.987777779
22.0,0.558261314,0.052675959,1.0,0.3333333,0.368536599,0.9375,0.22125,0.0,0.146261912,0.0,0.255927699,0.653018261,0.875,1.0
23.0,0.54530766,0.0483756458,1.0,0.3333333,0.372439043,0.9375,0.21125,0.0,0.158705366,0.0,0.259301511,0.654969477,0.875,1.0
24.0,0.54804433,0.0507002876,1.0,0.3333333,0.376097584,0.9375,0.20375,0.0,0.167568462,0.0,0.256610045,0.656798742,0.875,1.0
25.0,0.544705154,0.0483383358,1.0,0.3333333,0.377560996,0.9375,0.2025,0.0,0.170980664,0.0,0.259345856,0.657530448,0.875,1.0
26.0,0.552398114,0.0481820694,1.0,0.3333333,0.37926831,0.9375,0.19875,0.0,0.170412211,0.0,0.259214791,0.658384105,0.875,1.0
27.0,0.554667432,0.045640696,1.0,0.3333333,0.381463428,0.9375,0.19625,0.0,0.170107151,0.0,0.258050174,0.659481664,0.875,1.0
28.0,0.551219222,0.0456064128,1.0,0.3333333,0.384390252,0.9375,0.20125,0.0,0.17017114,0.0,0.257426584,0.660945076,0.875,1.0
29.0,0.547133204,0.0457334704,1.0,0.3333333,0.388048782,0.9375,0.19625,0.0,0.167403282,0.0,0.251061535,0.662774341,0.875,1.0
30.0,0.550551078,0.045625608,1.0,0.3333333,0.3902439,0.9375,0.19875,0.0,0.161578877,0.0,0.248346627,0.6638719,0.875,1.0
31.0,0.549535134,0.0456296416,1.0,0.3333333,0.3902439,0.9375,0.19875,0.0,0.161578877,0.0,0.248346627,0.6638719,0.875,1.0
32.0,0.542789938,0.0461278852,1.0,0.3333333,0.3902439,0.9375,0.19875,0.0,0.161578877,0.0,0.248346627,0.6638719,0.875,1.0
33.0,0.550720328,0.045763894,1.0,0.3333333,0.3902439,0.9375,0.19875,0.0,0.161578877,0.0,0.248346627,0.6638719,0.875,1.0
34.0,0.553870436,0.0457216108,1.0,0.3333333,0.3902439,0.9375,0.19875,0.0,0.161578877,0.0,0.248346627,0.6638719,0.875,1.0
