Generation,Fitness_RectangleQuality,Fitness_CorridorQuality,Fitness_ConnectedQuality,SumOfSpaceFitnessScore,Fitness_MainPathQuality,Fitness_Defense,Fitness_OnMainPath_EnemyTrap,Fitness_OnMainPath_Treasure,Fitness_BesideMainPath_EnemyTrap,Fitness_BesideMainPath_Treasure,Fitness_TwoPronged,SumOfGameObjectFitnessScore
0.0,0.257200135,0.1951209137,0.3529178903,0.2740194009,0.2716128974,0.1111111096,0.11,0.18,0.0292708338,0.040000001,0.0414285699,0.1369612443
1.0,0.269753737,0.2049407402,0.677569942,0.441255343,0.376774185,0.107499999,0.29,0.2,0.0741666658,0.055000001,0.058095234,0.246980286
2.0,0.267845623,0.2140332244,0.827821207,0.520927226,0.386774178,0.1000000014,0.39,0.17,0.0759375022,0.045833334,0.0583333299,0.284237204
3.0,0.315172577,0.271128117,0.823505521,0.547316828,0.394516119,0.0980555586,0.495,0.14,0.061562501,0.069166667,0.0942857083,0.317026203
4.0,0.278838666,0.338793748,0.781693092,0.560243419,0.397419337,0.113611113,0.5525,0.07,0.0591666676,0.107500001,0.1145238022,0.336362015
5.0,0.265342149,0.364950173,0.796014604,0.580482386,0.409999981,0.121944444,0.615,0.05,0.0413541678,0.080833334,0.1183333233,0.355451406
6.0,0.243470971,0.403504968,0.794424569,0.598964767,0.404193542,0.124999999,0.635,0.05,0.0556250024,0.082500001,0.1723809358,0.364939534
7.0,0.231042476,0.418242477,0.817285296,0.617763892,0.401612905,0.1441666662,0.67375,0.05,0.0510416708,0.112500002,0.2235714097,0.375468212
8.0,0.221696571,0.453356042,0.815047134,0.63420159,0.394838722,0.1397222222,0.74125,0.07,0.0083333334,0.105000002,0.2573809307,0.381474037
9.0,0.216987435,0.435615197,0.867196039,0.651405598,0.400000004,0.1488888892,0.7425,0.1,0.0060416668,0.098333335,0.2342856953,0.382847233
10.0,0.191821169,0.477731439,0.850602732,0.664167097,0.410645147,0.1613888886,0.74,0.08,0.0070833336,0.089166668,0.1773809397,0.385909483
11.0,0.194620911,0.484802135,0.870467313,0.677634724,0.419999962,0.1424999988,0.74875,0.16,0.0008333334,0.056666668,0.093095236,0.389861065
12.0,0.169250868,0.512057653,0.878064268,0.695060956,0.419677381,0.1424999988,0.75,0.16,0.0,0.056666668,0.0933333313,0.389892427
13.0,0.13011389,0.546190901,0.883752781,0.71497184,0.419999962,0.1449999988,0.75,0.16,0.0,0.056666668,0.0935714265,0.389999954
14.0,0.117390648,0.577751472,0.883082526,0.730417004,0.420322543,0.1449999988,0.75,0.16,0.0,0.056666668,0.0938095217,0.390107481
15.0,0.090717052,0.585535112,0.890026105,0.737780617,0.421290286,0.1486111098,0.75,0.17,0.0,0.056666668,0.0945238073,0.390430062
16.0,0.064655731,0.606440646,0.892485804,0.749463214,0.422258029,0.1458333318,0.75,0.19,0.0,0.056666668,0.0919047602,0.390752643
17.0,0.065767551,0.632883665,0.887252943,0.76006831,0.42258061,0.1494444428,0.75,0.18,0.0,0.063333335,0.0921428554,0.39086017
18.0,0.047899935,0.66777421,0.868738384,0.768256312,0.42580642,0.1405555538,0.75,0.16,0.0,0.050000001,0.0952380934,0.39193544
19.0,0.068855114,0.627309334,0.923149103,0.775229228,0.43225804,0.1588888876,0.75,0.15,0.0,0.063333335,0.094523808,0.39408598
20.0,0.014957626,0.651013144,0.914089399,0.782551287,0.442580632,0.1474999986,0.75,0.16,0.0,0.055000002,0.0840476189,0.397526844
21.0,0.00956863,0.644752691,0.938686551,0.79171964,0.4516129,0.143611111,0.75,0.15,0.0,0.080000004,0.0800000011,0.4005376
22.0,0.0,0.664534401,0.947444069,0.805989254,0.4516129,0.143611111,0.75,0.15,0.0,0.080000004,0.0800000011,0.4005376
23.0,0.001176471,0.669556956,0.961330642,0.815443839,0.4516129,0.143611111,0.75,0.15,0.0,0.080000004,0.0800000011,0.4005376
24.0,0.001176471,0.675750036,0.97085264,0.823301363,0.4516129,0.143611111,0.75,0.15,0.0,0.080000004,0.0800000011,0.4005376
25.0,0.0,0.669044147,1.0,0.834522117,0.4516129,0.143611111,0.75,0.15,0.0,0.080000004,0.0800000011,0.4005376
26.0,0.0,0.674118854,1.0,0.837059457,0.4516129,0.143611111,0.75,0.15,0.0,0.080000004,0.0800000011,0.4005376
27.0,0.0,0.683608733,1.0,0.841804373,0.4516129,0.143611111,0.75,0.15,0.0,0.080000004,0.0800000011,0.4005376
28.0,0.0,0.690870234,0.999411765,0.845141005,0.4516129,0.143611111,0.75,0.15,0.0,0.080000004,0.0800000011,0.4005376
29.0,0.0,0.698590907,0.997091504,0.847841219,0.4516129,0.143611111,0.75,0.15,0.0,0.080000004,0.0800000011,0.4005376
30.0,0.0,0.712008609,0.993594773,0.852801716,0.4516129,0.143611111,0.75,0.15,0.0,0.080000004,0.0800000011,0.4005376
31.0,0.0,0.739224701,0.977875823,0.858550251,0.4516129,0.143611111,0.75,0.15,0.0,0.080000004,0.0800000011,0.4005376
32.0,0.0,0.772594746,0.958071907,0.865333303,0.4516129,0.143611111,0.75,0.15,0.0,0.080000004,0.0800000011,0.4005376
33.0,0.0,0.802516124,0.9411765,0.871846262,0.4516129,0.143611111,0.75,0.15,0.0,0.080000004,0.0800000011,0.4005376
34.0,0.0,0.80419354,0.9411765,0.87268497,0.4516129,0.143611111,0.75,0.15,0.0,0.080000004,0.0800000011,0.4005376
35.0,0.0,0.8064516,0.9411765,0.873814,0.4516129,0.143611111,0.75,0.15,0.0,0.080000004,0.0800000011,0.4005376
