Generation,Fitness_RectangleQuality,Fitness_CorridorQuality,Fitness_ConnectedQuality,SumOfSpaceFitnessScore,Fitness_MainPathQuality,Fitness_Defense,Fitness_OnMainPath_EnemyTrap,Fitness_OnMainPath_Treasure,Fitness_BesideMainPath_EnemyTrap,Fitness_BesideMainPath_Treasure,Fitness_TwoPronged,SumOfGameObjectFitnessScore
0.0,0.240677625,0.1758443297,0.3540586109,0.1180195372,0.2110256398,0.25361111,0.0775,0.15,0.0422916674,0.05045238,0.0089250663,0.2323183739
1.0,0.360639699,0.0994364224,0.758493632,0.252831213,0.308974357,0.324166664,0.12375,0.01,0.04738393,0.04385714,0.0122584001,0.31657051
2.0,0.406714703,0.0994119657,0.852765927,0.284255324,0.346666675,0.35916666,0.13125,0.01,0.0700535763,0.09269047,0.0182854738,0.352916657
3.0,0.321177996,0.0887436684,0.913700785,0.304566932,0.437435921,0.311388885,0.1575,0.01,0.0746756042,0.067499999,0.0274655566,0.374412394
4.0,0.337087753,0.0724882697,0.943109239,0.314369749,0.43564104,0.370833327,0.14375,0.01,0.0766488163,0.155999998,0.0166357274,0.403237186
5.0,0.38806559,0.1032453163,0.964689666,0.321563223,0.469487203,0.389999997,0.1675,0.0,0.0876875085,0.201999999,0.0147648067,0.429743599
6.0,0.34340549,0.0999365828,0.99481451,0.331604808,0.492820515,0.417777781,0.2825,0.0,0.1037976199,0.113,0.0253833735,0.455299142
7.0,0.346576463,0.1199451821,1.0,0.3333333,0.497435903,0.463333346,0.27125,0.0,0.1211309481,0.122,0.0370360228,0.480384623
8.0,0.348088648,0.121760866,1.0,0.3333333,0.494615398,0.509444454,0.2575,0.0,0.1233809441,0.201,0.049402961,0.502029935
9.0,0.358003426,0.125235225,1.0,0.3333333,0.493589757,0.556666707,0.27875,0.0,0.1317261784,0.203,0.0628757732,0.525128237
10.0,0.35349389,0.110022807,1.0,0.3333333,0.48384618,0.589444497,0.245,0.0,0.1274166561,0.292,0.0971063956,0.536645318
11.0,0.342699468,0.124652582,1.0,0.3333333,0.505897453,0.598888925,0.25125,0.0,0.1244642733,0.208,0.0764815617,0.552393196
12.0,0.336463604,0.131972513,1.0,0.3333333,0.507948728,0.620555586,0.2225,0.0,0.12705356,0.205333333,0.0823712533,0.564252178
13.0,0.33453198,0.126975669,1.0,0.3333333,0.517179514,0.636111127,0.255,0.0,0.119244033,0.161333333,0.0773072207,0.576645326
14.0,0.336508624,0.124001103,1.0,0.3333333,0.506923086,0.669999985,0.26125,0.0,0.1226726042,0.177666666,0.0722824736,0.588461546
15.0,0.351052642,0.126916327,1.0,0.3333333,0.509743603,0.688888859,0.26875,0.0,0.1313630763,0.223,0.110669999,0.599316257
16.0,0.354251022,0.133211869,1.0,0.3333333,0.513589738,0.701111072,0.22125,0.0,0.1433928342,0.19,0.1223567202,0.60735044
17.0,0.354498436,0.135103457,1.0,0.3333333,0.514615382,0.703888852,0.2325,0.0,0.1423928332,0.182,0.1258602386,0.609252145
18.0,0.348241126,0.126023391,1.0,0.3333333,0.516923081,0.707222188,0.235,0.0,0.1403868802,0.174,0.126435051,0.612072653
19.0,0.355798478,0.121704899,1.0,0.3333333,0.521025657,0.709999968,0.25125,0.0,0.1281011652,0.13,0.1301766652,0.615512818
20.0,0.352636084,0.119867293,1.0,0.3333333,0.527948754,0.712222192,0.27375,0.0,0.1290237852,0.091333333,0.1464051588,0.620085462
21.0,0.3480207,0.122944216,1.0,0.3333333,0.531025682,0.712777748,0.28125,0.0,0.1284404512,0.070666666,0.1514920776,0.621901702
22.0,0.344516424,0.110679263,1.0,0.3333333,0.530769271,0.716111084,0.27375,0.0,0.1302797372,0.066666666,0.1476518416,0.623440164
23.0,0.34827711,0.116405757,1.0,0.3333333,0.53051286,0.717777752,0.2725,0.0,0.1310297375,0.066666666,0.1455360442,0.624145292
24.0,0.349055336,0.112462887,1.0,0.3333333,0.529743627,0.720555532,0.2675,0.0,0.1314464045,0.068999999,0.1418368466,0.625149564
25.0,0.347004054,0.113488528,1.0,0.3333333,0.528717984,0.724444424,0.26,0.0,0.1293094995,0.075666665,0.1411634116,0.626581188
26.0,0.340013498,0.114406205,1.0,0.3333333,0.528205162,0.72777776,0.26125,0.0,0.1239047375,0.067333332,0.1391855216,0.627991444
27.0,0.3391498,0.113434546,1.0,0.3333333,0.52769234,0.732222208,0.25625,0.0,0.1269047375,0.070666665,0.1314079928,0.629957256
28.0,0.333774178,0.097440399,1.0,0.3333333,0.527179519,0.737222212,0.255,0.0,0.1273868808,0.078999998,0.1295302906,0.632200848
29.0,0.329757084,0.101329287,1.0,0.3333333,0.526666697,0.741111104,0.24375,0.0,0.1275118808,0.082333331,0.1248362958,0.633888882
30.0,0.335056232,0.107055781,1.0,0.3333333,0.526153875,0.743333328,0.25,0.0,0.1274761668,0.085666664,0.1244995784,0.634743582
31.0,0.328056682,0.107429151,1.0,0.3333333,0.525384643,0.746111108,0.255,0.0,0.1255833098,0.094999997,0.1263210734,0.635747856
32.0,0.328389566,0.111158345,1.0,0.3333333,0.523846179,0.75,0.255,0.0,0.1240475968,0.103666663,0.1248755804,0.63692307
33.0,0.334116064,0.114021592,1.0,0.3333333,0.527179516,0.75,0.25375,0.0,0.1248333106,0.087666664,0.120938289,0.638589736
34.0,0.332415658,0.11396761,1.0,0.3333333,0.527948749,0.75,0.25375,0.0,0.1241725966,0.085333331,0.119831079,0.638974354
35.0,0.32591993,0.106617186,1.0,0.3333333,0.528717982,0.75,0.25875,0.0,0.1241725966,0.088666664,0.1230949368,0.639358972
36.0,0.337503376,0.108184882,1.0,0.3333333,0.530256448,0.75,0.26375,0.0,0.1235118829,0.085333331,0.1259112292,0.640128208
37.0,0.3345794,0.104617634,1.0,0.3333333,0.531794914,0.75,0.275,0.0,0.1218452156,0.086333331,0.1296528428,0.640897444
38.0,0.332150252,0.104833562,1.0,0.3333333,0.533846202,0.75,0.275,0.0,0.1236071209,0.071333331,0.1293993904,0.641923092
39.0,0.330773734,0.104887544,1.0,0.3333333,0.536666723,0.75,0.28,0.0,0.1242856932,0.068333331,0.1325524006,0.643333358
40.0,0.329806574,0.106887096,1.0,0.3333333,0.537692367,0.75,0.28625,0.0,0.1210356925,0.060333331,0.1365745248,0.643846182
41.0,0.32769681,0.104887544,1.0,0.3333333,0.5384616,0.75,0.2875,0.0,0.1209999788,0.060333331,0.1338839144,0.6442308
42.0,0.33069726,0.106671168,1.0,0.3333333,0.5384616,0.75,0.2875,0.0,0.1209999788,0.060333331,0.1338839144,0.6442308
43.0,0.339766088,0.106617186,1.0,0.3333333,0.5384616,0.75,0.2875,0.0,0.1209999788,0.060333331,0.1338839144,0.6442308
44.0,0.338142156,0.10477958,1.0,0.3333333,0.5384616,0.75,0.2875,0.0,0.1209999788,0.060333331,0.1338839144,0.6442308
45.0,0.331988308,0.10477958,1.0,0.3333333,0.5384616,0.75,0.2875,0.0,0.1209999788,0.060333331,0.1338839144,0.6442308
46.0,0.330373372,0.106563204,1.0,0.3333333,0.5384616,0.75,0.2875,0.0,0.1209999788,0.060333331,0.1338839144,0.6442308
47.0,0.32291948,0.104833562,1.0,0.3333333,0.5384616,0.75,0.2875,0.0,0.1209999788,0.060333331,0.1338839144,0.6442308
