Generation,Fitness_RectangleQuality,Fitness_CorridorQuality,Fitness_ConnectedQuality,SumOfSpaceFitnessScore,Fitness_MainPathQuality,Fitness_Defense,Fitness_OnMainPath_EnemyTrap,Fitness_OnMainPath_Treasure,Fitness_BesideMainPath_EnemyTrap,Fitness_BesideMainPath_Treasure,Fitness_TwoPronged,SumOfGameObjectFitnessScore
0.0,0.265898459,0.1595557799,0.3884843647,0.2740200745,0.3745454628,0.1094444442,0.13625,0.17,0.0264166693,0.011666667,0.0164285707,0.1790707091
1.0,0.311413393,0.1929694511,0.657814619,0.425392037,0.666060608,0.0577777764,0.35375,0.32,0.0384375014,0.024166667,0.0309523765,0.352749366
2.0,0.280090354,0.2381729082,0.715056913,0.476614918,0.738787883,0.0463888882,0.45125,0.24,0.0492708331,0.029166667,0.026190475,0.413102903
3.0,0.223999921,0.244283707,0.758011106,0.501147396,0.77272728,0.041388888,0.515,0.24,0.0607291654,0.024166667,0.0445238076,0.449485468
4.0,0.229252394,0.2433858835,0.818926579,0.53115622,0.778484864,0.0452777766,0.55125,0.3,0.1094791648,0.0225,0.0526190423,0.479738017
5.0,0.196068388,0.2739754907,0.84610082,0.560038155,0.78575759,0.0602777752,0.605,0.33,0.1043749976,0.03,0.0433333305,0.498377541
6.0,0.195982387,0.258885911,0.904348591,0.58161726,0.788181835,0.0777777744,0.6875,0.43,0.058125,0.015,0.0373809514,0.511268974
7.0,0.186568601,0.299170061,0.892920982,0.596045539,0.810606062,0.0747222182,0.7175,0.43,0.0296875,0.032500001,0.0523809502,0.519264551
8.0,0.136349682,0.363243303,0.857933959,0.610588627,0.8290909,0.0758333288,0.75,0.47,0.0,0.019166667,0.0607142842,0.52636366
9.0,0.130803833,0.40030006,0.859217499,0.62975878,0.836969695,0.0702777728,0.75,0.5,0.0,0.011666667,0.0619047608,0.52898992
10.0,0.168418932,0.406255552,0.879171715,0.642713621,0.856060623,0.0683333288,0.74625,0.52,0.0033333334,0.014166667,0.0642857116,0.535214661
11.0,0.225434165,0.38327058,0.93135965,0.657315097,0.8787879,0.0591666642,0.75,0.46,0.0,0.026666668,0.0645238074,0.5429293
12.0,0.21515888,0.371222507,0.956799156,0.664010822,0.8787879,0.0591666642,0.75,0.46,0.0,0.026666668,0.0645238074,0.5429293
13.0,0.203149258,0.386662185,0.962659401,0.674660792,0.8787879,0.0591666642,0.75,0.46,0.0,0.026666668,0.0645238074,0.5429293
14.0,0.183009869,0.417871228,0.94629591,0.682083579,0.8787879,0.0591666642,0.75,0.46,0.0,0.026666668,0.0645238074,0.5429293
15.0,0.177272243,0.40872081,0.970626033,0.689673423,0.8787879,0.0591666642,0.75,0.46,0.0,0.026666668,0.0645238074,0.5429293
16.0,0.146376487,0.426668927,0.967134461,0.6969017,0.8787879,0.0591666642,0.75,0.46,0.0,0.026666668,0.0645238074,0.5429293
17.0,0.153751656,0.434156981,0.972190078,0.703173537,0.8787879,0.0591666642,0.75,0.46,0.0,0.026666668,0.0645238074,0.5429293
18.0,0.131238288,0.456781772,0.965435127,0.711108473,0.8787879,0.0591666642,0.75,0.46,0.0,0.026666668,0.0645238074,0.5429293
19.0,0.108806339,0.488628972,0.951234245,0.719931606,0.8787879,0.0591666642,0.75,0.46,0.0,0.026666668,0.0645238074,0.5429293
20.0,0.103779336,0.511805318,0.940868078,0.72633669,0.8787879,0.0591666642,0.75,0.46,0.0,0.026666668,0.0645238074,0.5429293
21.0,0.096518856,0.524777741,0.938511185,0.731644451,0.8787879,0.0591666642,0.75,0.46,0.0,0.026666668,0.0645238074,0.5429293
22.0,0.05725623,0.557070442,0.921419307,0.73924486,0.8787879,0.0591666642,0.75,0.46,0.0,0.026666668,0.0645238074,0.5429293
23.0,0.004848484,0.55203794,0.946707255,0.749372569,0.8787879,0.0591666642,0.75,0.46,0.0,0.026666668,0.0645238074,0.5429293
24.0,0.0,0.55058468,0.951878834,0.751231703,0.8787879,0.0591666642,0.75,0.46,0.0,0.026666668,0.0645238074,0.5429293
25.0,0.0,0.553175405,0.950831214,0.752003253,0.8787879,0.0591666642,0.75,0.46,0.0,0.026666668,0.0645238074,0.5429293
26.0,0.0,0.558286596,0.95034636,0.754316415,0.8787879,0.0591666642,0.75,0.46,0.0,0.026666668,0.0645238074,0.5429293
