Generation,ChromosomeIndex,Fitness_RectangleQuality,Fitness_CorridorQuality,Fitness_ConnectedQuality,Fitness_SumOfFitnessScore
Weight,-->,0,1,1,
Tactic_Bait,Tactic_Ambush,Tactic_TwoProngedAttack,Tactic_Defense,Tactic_Clash,
False * 1,False * 1,False * 1,False * 1,True * 1,
0,0,0.2666667,0,0.375,0.1875
0,1,0.2962963,0.07407407,0.1,0.08703704
0,2,0,0.5,0.04761905,0.2738095
0,3,0.1818182,0.1818182,0.8,0.4909091
0,4,0.2857143,0.1714286,0.2916667,0.2315476
0,5,0.2857143,0.1428571,0.5833333,0.3630952
0,6,0.1935484,0.2258064,0.1363636,0.1810851
0,7,0.1290323,0.3870968,0.3636364,0.3753666
0,8,0.1290323,0.2580645,0.2083333,0.2331989
0,9,0.5135135,0.1081081,0.8947368,0.5014225
0,10,0,0.28125,0.4074074,0.3443287
0,11,0.3030303,0.2727273,0.1,0.1863636
0,12,0.3888889,0.1666667,0.1904762,0.1785714
0,13,0.4117647,0.1176471,0.04761905,0.08263306
0,14,0.1333333,0.3,0.1363636,0.2181818
0,15,0.5142857,0.05714286,0.55,0.3035714
0,16,0.3,0.3,0.25,0.275
0,17,0.2,0.2333333,0.3333333,0.2833333
0,18,0.2580645,0.3225806,0.1,0.2112903
0,19,0.2777778,0.08333334,0.7307692,0.4070513
0,20,0,0.3809524,0.05882353,0.219888
0,21,0.5,0.1944444,0.5294118,0.3619281
0,22,0.3225806,0.2258064,0.4736842,0.3497453
0,23,0.25,0.125,0.2083333,0.1666667
0,24,0.2580645,0.06451613,0.1666667,0.1155914
0,25,0.4848485,0.1212121,0.6315789,0.3763955
0,26,0.137931,0.2413793,0.4545455,0.3479624
0,27,0.4242424,0.2121212,0.6111111,0.4116161
0,28,0.16,0.24,0.368421,0.3042105
0,29,0,0.1428571,0.03846154,0.09065934
0,30,0.4571429,0,0.1818182,0.09090909
0,31,0.2777778,0.1111111,0.5384616,0.3247863
0,32,0.2,0.2,0.09090909,0.1454546
0,33,0.3589744,0.1025641,0.76,0.431282
0,34,0.3030303,0.1515152,0.3636364,0.2575758
0,35,0.25,0.1875,0.8260869,0.5067935
0,36,0.45,0,1,0.5
0,37,0,0.4193548,0.04347826,0.2314165
0,38,0.1764706,0.1764706,0.24,0.2082353
0,39,0.2222222,0.1851852,0.2105263,0.1978557
0,40,0.7058824,0.05882353,0.3571429,0.2079832
0,41,0.45,0.175,0.8421053,0.5085526
0,42,0.2941177,0.2352941,0.7272727,0.4812834
0,43,0.3333333,0.3,0.1764706,0.2382353
0,44,0.2307692,0.2307692,0.5,0.3653846
0,45,0.1818182,0.1212121,0.4230769,0.2721445
0,46,0.3888889,0.1666667,0.2727273,0.219697
0,47,0.2941177,0.1470588,0.2608696,0.2039642
0,48,0.2727273,0.2727273,0.2857143,0.2792208
