Generation,ChromosomeIndex,Fitness_MainPathQuality,Fitness_Defense,Fitness_OnMainPath_EnemyTrap,Fitness_OnMainPath_Treasure,Fitness_BesideMainPath_EnemyTrap,Fitness_BesideMainPath_Treasure,Fitness_TwoPronged,Fitness_SumOfFitnessScore
Weight,-->,1,0,0,0,0,0,0,
MAX[1/ 1/ 1/ 0/ 0],min[1/ 1/ 4/ 1/ 1],,,,,,,,
0,0,0.3888889,0,0.125,0,0.0625,0,0,0.3888889
0,1,0.1111111,0.25,0,0,0,0,0,0.1111111
0,2,0.1111111,0.4722222,0.125,0,0,0,0.1904762,0.1111111
0,3,0.1666667,0,0,0,0,0,0,0.1666667
0,4,0.6111111,0,0.5,0,0,0,0,0.6111111
0,5,0.1666667,0,0.25,0,0,0,0,0.1666667
0,6,0.2222222,0.4166667,0.125,0,0,0,0,0.2222222
0,7,0.5,0,0,1,0.08333334,0,0,0.5
0,8,0.4444444,0,0.25,1,0.04166667,0,0,0.4444444
0,9,0.2777778,0,0,0,0,0,0,0.2777778
0,10,0.2222222,0,0.125,0,0,0,0,0.2222222
0,11,0.1666667,0.3611111,0,0,0,0,0,0.1666667
0,12,0.6944444,0,0.375,0,0,0,0,0.6944444
0,13,0.5555556,0.1111111,0.375,1,0.125,0,0.1428571,0.5555556
0,14,0.3611111,0.4722222,0.5,0,0,0,0.02380952,0.3611111
0,15,0.5833333,0,0.5,0,0.0625,0,0,0.5833333
0,16,0.4722222,0,0.375,0,0,0,0.02380952,0.4722222
0,17,0.08333334,0,0,0,0,0,0,0.08333334
0,18,0.3333333,0.3611111,0,0,0.04166667,0,0,0.3333333
0,19,0.05555556,0.4722222,0,0,0,0,0,0.05555556
0,20,0.3333333,0,0.25,0,0,0,0,0.3333333
0,21,0.1388889,0,0,0,0,0,0,0.1388889
0,22,0.2222222,0,0,0,0,0,0,0.2222222
0,23,0.1111111,0.25,0,0,0,0,0,0.1111111
0,24,0.1944444,0.3611111,0,0,0,0,0,0.1944444
0,25,0.4166667,0,0,0,0,0,0,0.4166667
0,26,0.4722222,0,0.125,0,0,0,0,0.4722222
0,27,0.1666667,0.25,0,0,0,0,0,0.1666667
0,28,0.2777778,0,0.25,0,0,0,0,0.2777778
0,29,0.3055556,0,0,0,0.125,0,0,0.3055556
0,30,0.1666667,0,0.125,0,0,0,0,0.1666667
0,31,0.08333334,0.25,0,0,0,0,0,0.08333334
0,32,0.1388889,0,0,0,0.04166667,0,0,0.1388889
0,33,0.4166667,0,0.125,0,0,0,0,0.4166667
0,34,0.2777778,0,0.125,0,0,0,0,0.2777778
0,35,0.3888889,0.1111111,0.125,1,0.0625,0,0,0.3888889
0,36,0.3611111,0.1111111,0,1,0,0,0,0.3611111
0,37,0.1111111,0,0,0,0.0625,0,0,0.1111111
0,38,0.1666667,0,0.125,0,0,0,0,0.1666667
0,39,0.25,0,0.125,0,0.08333334,0,0,0.25
0,40,0.2222222,0,0,0,0,0,0,0.2222222
0,41,0.08333334,0,0,0,0.0625,0,0,0.08333334
0,42,0.25,0.25,0,0,0,0,0,0.25
0,43,0.05555556,0.25,0,0,0,0,0,0.05555556
0,44,0.5555556,0,0.125,1,0,0,0,0.5555556
0,45,0.2777778,0,0,0,0,0,0,0.2777778
