Generation,ChromosomeIndex,Fitness_RectangleQuality,Fitness_CorridorQuality,Fitness_ConnectedQuality,Fitness_SumOfFitnessScore
Weight,-->,0,1,1,
Tactic_Bait,Tactic_Ambush,Tactic_TwoProngedAttack,Tactic_Defense,Tactic_Clash,
False * 1,True * 1,False * 1,False * 1,False * 1,
1,15,0.3529412,0.2352941,0.5,0.245098
1,16,0.3333333,0.05555556,0.68,0.2451852
1,17,0.3428572,0.2285714,0.5238096,0.2507937
1,18,0.2580645,0.4193548,0.3333333,0.2508961
1,19,0.5714286,0.1142857,0.6470588,0.2537815
1,20,0.1818182,0.2424242,0.5217391,0.2547211
1,21,0.4375,0.15625,0.6111111,0.255787
1,22,0.4375,0.15625,0.6111111,0.255787
1,23,0.4375,0.15625,0.6111111,0.255787
1,24,0.1764706,0.2941177,0.4782609,0.2574595
1,25,0.2580645,0.3870968,0.3888889,0.2586619
1,26,0.4444444,0.3055556,0.4705882,0.2587146
1,27,0.4444444,0.3055556,0.4705882,0.2587146
1,28,0.4444444,0.3055556,0.4705882,0.2587146
1,29,0.137931,0.4137931,0.368421,0.260738
1,30,0,0.7142857,0.07692308,0.2637363
1,31,0.4705882,0.2058824,0.5882353,0.2647059
1,32,0.2352941,0.2352941,0.5652174,0.2668372
1,33,0.4516129,0.1612903,0.6470588,0.2694497
1,34,0.2352941,0.2647059,0.5454546,0.2700535
1,35,0.4571429,0.2,0.6111111,0.2703704
1,36,0.1428571,0.4285714,0.3888889,0.2724868
1,37,0.2941177,0.05882353,0.76,0.2729412
1,38,0.1111111,0.2222222,0.6071429,0.276455
1,39,0.4,0.2,0.6315789,0.277193
1,40,0.2941177,0.2647059,0.5714286,0.2787115
1,41,0.3030303,0.3030303,0.55,0.2843435
1,42,0.3030303,0.3030303,0.55,0.2843435
1,43,0.3030303,0.3030303,0.55,0.2843435
1,44,0.1290323,0.2903226,0.5652174,0.28518
1,45,0,0.7727273,0.08333334,0.2853535
1,46,0.1212121,0.2727273,0.5833333,0.2853535
1,47,0,0.7727273,0.08333334,0.2853535
1,48,0,0.7727273,0.08333334,0.2853535
1,49,0.125,0.21875,0.64,0.28625
1,50,0.4571429,0.1428571,0.7368421,0.2932331
1,51,0.4571429,0.1428571,0.7368421,0.2932331
1,52,0.4571429,0.1428571,0.7368421,0.2932331
1,53,0.4571429,0.1428571,0.7368421,0.2932331
1,54,0.4571429,0.1428571,0.7368421,0.2932331
1,55,0.1176471,0.2647059,0.6153846,0.2933635
1,56,0.125,0.34375,0.5454546,0.2964015
1,57,0.125,0.25,0.64,0.2966667
1,58,0.125,0.25,0.64,0.2966667
1,59,0.1212121,0.2727273,0.64,0.3042424
1,60,0.1212121,0.2727273,0.64,0.3042424
1,61,0.1212121,0.2727273,0.64,0.3042424
1,62,0.1212121,0.2727273,0.64,0.3042424
1,63,0.1212121,0.2727273,0.64,0.3042424
1,64,0.1212121,0.2727273,0.64,0.3042424
1,65,0.1212121,0.2727273,0.64,0.3042424
1,66,0.2941177,0.1764706,0.7391304,0.3052003
1,67,0.2941177,0.1764706,0.7391304,0.3052003
1,68,0.2941177,0.1764706,0.7391304,0.3052003
1,69,0.125,0.3125,0.6086956,0.3070652
1,70,0.1212121,0.3030303,0.625,0.3093434
1,71,0.1142857,0.2857143,0.6538461,0.3131868
1,72,0.1818182,0.1818182,0.76,0.3139394
1,73,0.1818182,0.1818182,0.76,0.3139394
1,74,0.1818182,0.1818182,0.76,0.3139394
1,75,0.4117647,0.2058824,0.7368421,0.3142415
1,76,0.125,0.28125,0.6666667,0.3159722
1,77,0.125,0.28125,0.6666667,0.3159722
1,78,0.3157895,0.1052632,0.8461539,0.317139
1,79,0.1818182,0.1515152,0.8,0.3171717
1,80,0.1818182,0.1515152,0.8,0.3171717
1,81,0.1818182,0.1515152,0.8,0.3171717
1,82,0.1290323,0.3225806,0.6363636,0.3196481
1,83,0.2285714,0.1142857,0.8518519,0.3220459
1,84,0.5945946,0.08108108,0.8888889,0.3233233
1,85,0.2580645,0.2580645,0.7142857,0.3241167
1,86,0.1875,0.1875,0.7916667,0.3263889
1,87,0.1764706,0.2352941,0.76,0.3317647
1,88,0.6111111,0.1388889,0.875,0.337963
1,89,0.6111111,0.1388889,0.875,0.337963
1,90,0.6111111,0.1388889,0.875,0.337963
1,91,0.2162162,0.2162162,0.8076923,0.3413028
1,92,0.1290323,0.2903226,0.7391304,0.343151
1,93,0.25,0.28125,0.7619048,0.3477183
1,94,0.2352941,0.1764706,0.88,0.3521569
1,95,0.2352941,0.1764706,0.88,0.3521569
1,96,0.2352941,0.1764706,0.88,0.3521569
1,97,0.2352941,0.1764706,0.88,0.3521569
1,98,0.2352941,0.1764706,0.88,0.3521569
1,99,0.6486486,0.1351351,1,0.3783784
2,0,0.1212121,0.2727273,0.64,0.3042424
2,1,0.1212121,0.2727273,0.64,0.3042424
2,2,0.1212121,0.2727273,0.64,0.3042424
2,3,0.2666667,0.2,0.7142857,0.3047619
2,4,0.2941177,0.1764706,0.7391304,0.3052003
2,5,0.2941177,0.1764706,0.7391304,0.3052003
2,6,0.2941177,0.1764706,0.7391304,0.3052003
2,7,0.2941177,0.1764706,0.7391304,0.3052003
2,8,0.2941177,0.1764706,0.7391304,0.3052003
2,9,0.2941177,0.1764706,0.7391304,0.3052003
2,10,0.2941177,0.1764706,0.7391304,0.3052003
2,11,0.125,0.3125,0.6086956,0.3070652
2,12,0.1212121,0.3030303,0.625,0.3093434
2,13,0.4242424,0.2121212,0.7222222,0.3114478
2,14,0.1875,0.1875,0.75,0.3125
2,15,0.1142857,0.2857143,0.6538461,0.3131868
2,16,0.1142857,0.2857143,0.6538461,0.3131868
2,17,0.1142857,0.2857143,0.6538461,0.3131868
2,18,0.1818182,0.1818182,0.76,0.3139394
2,19,0.1818182,0.1818182,0.76,0.3139394
2,20,0.1818182,0.1818182,0.76,0.3139394
2,21,0.1818182,0.1818182,0.76,0.3139394
2,22,0.1818182,0.1818182,0.76,0.3139394
2,23,0.4117647,0.2058824,0.7368421,0.3142415
2,24,0.1176471,0.1176471,0.8275862,0.3150778
2,25,0.125,0.28125,0.6666667,0.3159722
2,26,0.125,0.28125,0.6666667,0.3159722
2,27,0.125,0.28125,0.6666667,0.3159722
2,28,0.125,0.28125,0.6666667,0.3159722
2,29,0.125,0.28125,0.6666667,0.3159722
2,30,0.125,0.28125,0.6666667,0.3159722
2,31,0.3157895,0.1052632,0.8461539,0.317139
2,32,0.1818182,0.1515152,0.8,0.3171717
