Generation,ChromosomeIndex,Fitness_MainPathQuality,Fitness_Defense,Fitness_OnMainPath_EnemyTrap,Fitness_OnMainPath_Treasure,Fitness_BesideMainPath_EnemyTrap,Fitness_BesideMainPath_Treasure,Fitness_TwoPronged,Fitness_SumOfFitnessScore
Weight,-->,1,0,0,0,0,0,0,
MAX[1/ 1/ 1/ 0/ 0],min[1/ 1/ 4/ 1/ 1],,,,,,,,
0,0,0.3571429,0,0.375,1,0,0,0,0.2440476
0,1,0.5,0,0.375,0,0,0,0.1428571,0.2916667
0,2,0.3571429,0.4722222,0,0,0,0,0,0.1190476
0,3,0.2142857,0.25,0,0,0,0.6666667,0,0.07142857
0,4,0.5,0,0,0,0,0,0,0.1666667
0,5,0.4285714,0,0,1,0,0,0,0.1428571
0,6,0.07142857,0,0,0,0,0,0,0.02380952
0,7,0.3214286,0,0.125,0,0,0,0,0.1488095
0,8,0.4285714,0,0.375,0,0,0,0,0.2678571
0,9,0.2142857,0.25,0,0,0,0,0,0.07142857
0,10,0.1071429,0,0,0,0,0,0,0.03571429
0,11,0.4642857,0,0.5,0,0,0,0,0.3214286
0,12,0.3571429,0.25,0.25,0,0.08333334,0,0,0.2301587
0,13,0.5,0,0,1,0,0,0,0.1666667
0,14,0.4642857,0.4166667,0.25,0,0,0.75,0,0.2380952
0,15,0.4642857,0,0.25,1,0,0,0,0.2380952
0,16,0.3928571,0,0,0,0.125,0,0,0.172619
0,17,0.4642857,0,0.375,0,0,0,0,0.2797619
0,18,0.5,0,0.125,0,0,0,0.5714286,0.2083333
0,19,0.6428571,0,0.125,0,0.04166667,0,0,0.2698413
0,20,0.5714286,0.3611111,0.125,0,0,0,0,0.2321429
0,21,0.4642857,0,0,0,0.1666667,0,0,0.2103175
0,22,0.3571429,0,0.125,0,0,0,0,0.1607143
0,23,0.1071429,0.25,0,0,0.0625,0,0,0.05654762
0,24,0.1071429,0,0,0,0,0,0,0.03571429
0,25,0.5,0,0.125,0,0,0,0,0.2083333
0,26,0.2857143,0.25,0.375,0,0,0,0,0.2202381
0,27,0.3571429,0,0,0,0,0,0,0.1190476
0,28,0.5714286,0.25,0.125,0,0.08333334,0,0,0.2599207
0,29,0.25,0,0.25,0,0,0,0.1904762,0.1666667
0,30,0.07142857,0,0,0,0.0625,0,0,0.04464286
0,31,0.3214286,0,0.125,0,0,0,0,0.1488095
0,32,0.2142857,0.25,0,0,0,0,0,0.07142857
0,33,0.4285714,0,0.375,0,0,0,0,0.2678571
0,34,0.5714286,0,0.25,0,0,0,0,0.2738095
0,35,0.4285714,0,0.625,0,0.09375,0,0.1190476,0.3824405
0,36,0.1428571,0,0.125,0,0,0,0,0.08928572
0,37,0.4285714,0.3611111,0.375,0,0,0,0,0.2678571
0,38,0.3928571,0,0.125,0,0,0,0,0.172619
0,39,0.5,0,0.125,1,0,0,0,0.2083333
0,40,0.4285714,0.25,0.125,0,0,0,0,0.1845238
0,41,0.6785714,0.3611111,0.375,0,0.04166667,0,0,0.3650793
0,42,0.07142857,0,0,0,0.04166667,0,0,0.03769841
0,43,0.1071429,0.25,0,0,0,0,0,0.03571429
0,44,0.3214286,0.3611111,0.125,0,0,0,0,0.1488095
0,45,0.4642857,0,0,0,0.09375,0,0,0.1860119
