Generation,ChromosomeIndex,Fitness_RectangleQuality,Fitness_CorridorQuality,Fitness_ConnectedQuality,Fitness_SumOfFitnessScore
Weight,-->,1,1,1,
Tactic_Bait,Tactic_Ambush,Tactic_TwoProngedAttack,Tactic_Defense,Tactic_Clash,
False * 1,False * 1,True * 1,False * 1,False * 1,
0,0,0,0.24,0.04545455,0.09515151
0,1,0.4705882,0.1470588,0.5263158,0.381321
0,2,0,0.1,0.4642857,0.1880952
0,3,0.137931,0.4137931,0.3,0.2839081
0,4,0.2580645,0.1935484,0.9047619,0.4521249
0,5,0,0.32,0.1904762,0.1701587
0,6,0.173913,0.3478261,0.375,0.2989131
0,7,0.4848485,0.06060606,0.4736842,0.3397129
0,8,0.2,0.2,0.4090909,0.269697
0,9,0,0.1818182,0.03333334,0.07171717
0,10,0,0.2592593,0.04347826,0.1009125
0,11,0.1333333,0.2666667,0.08695652,0.1623189
0,12,0.4117647,0.0882353,0.2380952,0.2460317
0,13,0.2222222,0.05555556,0.1034483,0.1270754
0,14,0,0.36,0.05,0.1366667
0,15,0.1875,0.21875,0.1304348,0.1788949
0,16,0.4736842,0.1578947,0.8,0.477193
0,17,0.2857143,0.2857143,0.05555556,0.2089947
0,18,0.4324324,0.1621622,0.5,0.3648649
0,19,0.4,0.1333333,0.368421,0.3005848
0,20,0.4242424,0.06060606,0.0952381,0.1933622
0,21,0.5454546,0.1212121,0.1875,0.2847222
0,22,0.3125,0.375,0.3529412,0.3468137
0,23,0.475,0.05,0.6521739,0.3923913
0,24,0.2142857,0.2142857,0.05263158,0.160401
0,25,0.3030303,0.1212121,0.9565217,0.4602547
0,26,0.1176471,0.3823529,0.5,0.3333333
0,27,0.5365854,0.04878049,0.9545454,0.5133038
0,28,0.4516129,0.2580645,0.25,0.3198925
0,29,0,0.5185185,0.05263158,0.1903834
0,30,0.2105263,0.1842105,0.6666667,0.3538012
0,31,0.2222222,0.1111111,0.3928571,0.2420635
0,32,0.1290323,0.1935484,0.44,0.2541935
0,33,0.3529412,0.1764706,0.6818182,0.4037433
0,34,0.24,0.36,0.2666667,0.2888889
0,35,0.5555556,0,0.8947368,0.4834308
0,36,0.16,0.16,0.25,0.19
