Generation,ChromosomeIndex,Fitness_RectangleQuality,Fitness_CorridorQuality,Fitness_ConnectedQuality,Fitness_SumOfFitnessScore
Weight,-->,0,1,1,
Tactic_Bait,Tactic_Ambush,Tactic_TwoProngedAttack,Tactic_Defense,Tactic_Clash,
False * 1,False * 1,False * 1,False * 1,True * 1,
0,0,0.4444444,0.2222222,0.7894737,0.505848
0,1,0.1481481,0.2222222,0.5,0.3611111
0,2,0.1333333,0.2333333,0.5217391,0.3775362
0,3,0.1428571,0.2857143,0.1428571,0.2142857
0,4,0.375,0.1875,0.6,0.39375
0,5,0.2941177,0.2941177,0.4,0.3470588
0,6,0.125,0.375,0.5217391,0.4483696
0,7,0.2758621,0.1724138,0.4,0.2862069
0,8,0.4242424,0.2121212,0.3529412,0.2825312
0,9,0.1818182,0.1212121,0.6538461,0.3875291
0,10,0.1290323,0.1290323,0.3461539,0.2375931
0,11,0.1142857,0.1714286,0.1724138,0.1719212
0,12,0.25,0.34375,0.1578947,0.2508224
0,13,0.1333333,0.2666667,0.5652174,0.415942
0,14,0,0.4137931,0.04545455,0.2296238
0,15,0.1333333,0.2,0.4583333,0.3291667
0,16,0.3870968,0.2258064,0.7777778,0.5017921
0,17,0.2424242,0.2424242,0.8260869,0.5342556
0,18,0.2758621,0.06896552,0.3333333,0.2011494
0,19,0.3428572,0.05714286,0.04,0.04857143
0,20,0,0.0625,0.1612903,0.1118952
0,21,0.4516129,0,0.75,0.375
0,22,0.2857143,0.1714286,0.2916667,0.2315476
0,23,0.137931,0.4137931,0.1052632,0.2595281
0,24,0.2424242,0.3333333,0.2380952,0.2857143
0,25,0.1290323,0.2580645,0.6666667,0.4623656
0,26,0.4242424,0.3030303,0.8823529,0.5926917
0,27,0.2,0.3,0.15,0.225
0,28,0.2424242,0.2121212,0.5652174,0.3886693
0,29,0.1290323,0,0.2142857,0.1071429
0,30,0.3333333,0.06666667,0.0952381,0.08095238
0,31,0.1428571,0.3571429,0.368421,0.3627819
0,32,0.1290323,0.2258064,0.1666667,0.1962366
0,33,0.16,0,0.1363636,0.06818182
0,34,0.3448276,0,0.2380952,0.1190476
0,35,0.4571429,0.05714286,0.7272727,0.3922078
0,36,0.4571429,0.2571429,0.8823529,0.5697479
0,37,0,0.3939394,0.1153846,0.254662
0,38,0,0.3703704,0.1904762,0.2804233
0,39,0.2222222,0.2592593,0.1666667,0.212963
0,40,0.4146341,0.04878049,0.8461539,0.4474672
0,41,0.4054054,0.05405406,0.5652174,0.3096357
0,42,0,0.40625,0.28,0.343125
0,43,0.2105263,0,0.5625,0.28125
0,44,0.2857143,0.1142857,0.4,0.2571429
0,45,0.2424242,0.2424242,0.5652174,0.4038208
0,46,0.1935484,0.1290323,0.4166667,0.2728494
0,47,0.1212121,0.3030303,0.2,0.2515152
