Generation,ChromosomeIndex,Fitness_MainPathQuality,Fitness_Defense,Fitness_OnMainPath_EnemyTrap,Fitness_OnMainPath_Treasure,Fitness_BesideMainPath_EnemyTrap,Fitness_BesideMainPath_Treasure,Fitness_TwoPronged,Fitness_SumOfFitnessScore
Weight,-->,1,0,0,0,0,0,0,
MAX[1/ 1/ 1/ 0/ 1],min[1/ 1/ 4/ 1/ 1],,,,,,,,
0,0,0.1470588,0.25,0,0,0,0,0,0.1985294
0,1,0.1764706,0,0,1,0,0,0,0.0882353
0,2,0.3823529,0.1111111,0.125,1,0.125,0,0,0.246732
0,3,0.0882353,0.25,0,0,0,0,0,0.1691176
0,4,0.4117647,0,0,1,0.09375,0,0,0.2058824
0,5,0.3529412,0.1111111,0.125,1,0,0,0.0952381,0.2320261
0,6,0.4705882,0,0.125,1,0,0,0,0.2352941
0,7,0.5294118,0.3611111,0.25,0,0,0,0,0.4452614
0,8,0.0882353,0.25,0,0,0,0,0,0.1691176
0,9,0.05882353,0.3611111,0,0,0.0625,0,0,0.2099673
0,10,0.0882353,0.25,0,0,0,0,0,0.1691176
0,11,0.5588235,0.1111111,0.125,1,0,0,0,0.3349673
0,12,0.5882353,0,0.375,1,0.08333334,0,0.02380952,0.2941177
0,13,0.0882353,0.3611111,0,0,0.0625,0,0,0.2246732
0,14,0.2352941,0.25,0,0,0,0,0,0.2426471
0,15,0.3529412,0.1111111,0.125,1,0,0,0,0.2320261
0,16,0.1764706,0.25,0,0,0,0,0,0.2132353
0,17,0.2647059,0,0.25,1,0,0,0.04761905,0.1323529
0,18,0.2352941,0.3611111,0.25,0,0,0,0,0.2982026
0,19,0.1764706,0,0,1,0,0,0,0.0882353
0,20,0.6470588,0.3611111,0.25,0,0,0.5,0,0.5040849
0,21,0.5,0.25,0.125,0,0,0,0,0.375
0,22,0.3235294,0.25,0.125,0,0,0.6666667,0.04761905,0.2867647
0,23,0.5882353,0.25,0.25,0,0.025,0,0,0.4191177
0,24,0.5294118,0.1111111,0.375,1,0,0,0.04761905,0.3202614
0,25,0.3823529,0.25,0,0,0,0,0,0.3161765
0,26,0.4411765,0.3611111,0,0,0,0,0,0.4011438
0,27,0.05882353,0.25,0,0,0,0,0,0.1544118
0,28,0.3823529,0.25,0.375,0,0.125,0,0,0.3161765
0,29,0.5294118,0.3611111,0,0,0,0.5,0,0.4452614
0,30,0.5882353,0.05555556,0.5,1,0.09375,0,0,0.3218955
0,31,0.3529412,0.25,0.125,0,0.25,0,0,0.3014706
0,32,0.1470588,0.3611111,0,0,0,0,0,0.254085
