Generation,ChromosomeIndex,Fitness_RectangleQuality,Fitness_CorridorQuality,Fitness_ConnectedQuality,Fitness_SumOfFitnessScore
Weight,-->,0,1,1,
Tactic_Bait,Tactic_Ambush,Tactic_TwoProngedAttack,Tactic_Defense,Tactic_Clash,
False * 1,False * 1,False * 1,True * 1,False * 1,
0,0,0.4736842,0.1052632,0.8095238,0.304929
0,1,0,0.3076923,0.04545455,0.1177156
0,2,0.137931,0.2068966,0.08695652,0.09795102
0,3,0.2352941,0.1764706,0.8333333,0.3366013
0,4,0.25,0.21875,0.4090909,0.2092803
0,5,0.4571429,0.1142857,0.6315789,0.2486216
0,6,0.4117647,0.05882353,0.2380952,0.09897292
0,7,0.1818182,0.2727273,0.3043478,0.1923584
0,8,0.5882353,0.05882353,0.1875,0.08210784
0,9,0.3333333,0.2333333,0.5555556,0.262963
0,10,0.5882353,0.3529412,0.4545455,0.2691622
0,11,0.2857143,0.4285714,0.2142857,0.2142857
0,12,0.1333333,0.3333333,0.7142857,0.3492064
0,13,0.3636364,0.06060606,0.3181818,0.1262626
0,14,0,0.2,0.1111111,0.1037037
0,15,0.137931,0.2758621,0.1363636,0.1374086
0,16,0.2352941,0.1176471,0.1923077,0.1033183
0,17,0.3225806,0,0.2608696,0.08695652
0,18,0.4117647,0.1764706,0.15,0.1088235
0,19,0.375,0.09375,0.35,0.1479167
0,20,0,0.1428571,0.7692308,0.3040293
0,21,0.1212121,0.1818182,0.3703704,0.1840629
0,22,0.1290323,0.1290323,0.1538462,0.0942928
0,23,0.1428571,0.2857143,0.1428571,0.1428571
0,24,0.3243243,0.3243243,0.3181818,0.2141687
0,25,0.1428571,0,0.16,0.05333333
0,26,0.4516129,0.2903226,0.06666667,0.1189964
0,27,0.3636364,0.1818182,0.4,0.1939394
0,28,0.4324324,0.2162162,0.1052632,0.1071598
0,29,0.4705882,0,0.3333333,0.1111111
0,30,0.5263158,0.05263158,0.0952381,0.04928989
0,31,0,0.5,0.3,0.2666667
0,32,0,0.2413793,0.04,0.0937931
0,33,0.173913,0.173913,0.3333333,0.1690821
0,34,0.5405405,0.05405406,0.7,0.2513514
0,35,0.4242424,0.1818182,0.2105263,0.1307815
0,36,0.3448276,0.137931,0.3157895,0.1512402
0,37,0.2285714,0.1714286,0.7307692,0.3007326
0,38,0,0.2580645,0.03703704,0.09836718
0,39,0.2424242,0.3030303,0.65,0.3176768
0,40,0,0.2580645,0.03703704,0.09836718
0,41,0.2285714,0.1428571,0.8846154,0.3424909
0,42,0.2857143,0.07142857,0.3333333,0.1349206
0,43,0.2222222,0.1111111,0.15,0.08703704
0,44,0.375,0,0.08695652,0.02898551
0,45,0.4516129,0.2258064,0.375,0.2002688
0,46,0.4,0.1428571,0.6666667,0.2698413
0,47,0.368421,0.131579,0.625,0.252193
