Generation,ChromosomeIndex,Fitness_MainPathQuality,Fitness_Defense,Fitness_OnMainPath_EnemyTrap,Fitness_OnMainPath_Treasure,Fitness_BesideMainPath_EnemyTrap,Fitness_BesideMainPath_Treasure,Fitness_TwoPronged,Fitness_SumOfFitnessScore
Weight,-->,1,0,0,0,0,0,0,
MAX[1/ 1/ 1/ 0/ 0],min[1/ 1/ 4/ 1/ 1],,,,,,,,
0,0,0.075,0,0.125,0,0.04166667,0,0.04761905,-0.0110119
0,1,0.075,0,0,0,0,0,0,0.01875
0,2,0.225,0,0,0,0.025,0,0,0.05
0,3,0.275,0,0.125,0,0.08333334,0,0,0.01666667
0,4,0.2,0.4166667,0,0,0.025,0,0,0.04375
0,5,0.275,0.1111111,0.125,1,0,0,0,0.0375
0,6,0.225,0,0,0,0.1678571,0,0.03367176,0.02270365
0,7,0.35,0.25,0.25,0,0.05,1,0,0.0125
0,8,0.25,0,0.125,0,0.03125,0,0.1010153,0.04869132
0,9,0.35,0.2222222,0.25,1,0.08854167,0,0.07142857,0.02072172
0,10,0.05,0.3611111,0,0,0,0,0,0.0125
0,11,0.05,0,0,0,0,0,0,0.0125
0,12,0.25,0,0.25,0,0,0,0,0
0,13,0.25,0,0.125,0,0.05,0,0.04761905,0.03065476
0,14,0.225,0.1111111,0,1,0.075,0,0,0.0375
0,15,0.35,0,0.375,1,0,0,0.2887855,0.06594637
0,16,0.275,0,0,0,0.1,0,0,0.04375
0,17,0.2,0.25,0,0,0,0.3333333,0,0.05
0,18,0.125,0,0,0,0,0,0,0.03125
0,19,0.275,0,0,0,0.04166667,0,0,0.05833333
0,20,0.3,0,0,0,0.0625,0,0,0.059375
0,21,0.05,0,0,0,0.04166667,0,0,0.002083333
0,22,0.35,0,0.5,0,0.078125,0,0.2299251,0.0004500262
0,23,0.3,0,0,0,0,0,0,0.075
0,24,0.225,0.3611111,0,0,0.075,0.6666667,0,0.0375
0,25,0.075,0,0.25,0,0,0,0,-0.04375
0,26,0.35,0,0,1,0,0,0,0.0875
0,27,0.2,0,0.125,0,0,0,0,0.01875
0,28,0.2,0,0.125,0,0,0,0,0.01875
0,29,0.225,0,0.125,0,0.02083333,0,0,0.01979166
0,30,0.075,0.25,0,0,0,0,0,0.01875
0,31,0.275,0.25,0.125,0,0,0,0,0.0375
0,32,0.275,0.5833334,0,0,0.075,0.5,0,0.05
0,33,0.075,0.3611111,0,0,0,0,0,0.01875
0,34,0.25,0,0,0,0.025,0,0,0.05625
0,35,0.3,0,0.125,0,0.0875,0,0.0952381,0.04568453
0,36,0.175,0,0.125,0,0.046875,0,0,0.0007812493
0,37,0.075,0,0.25,0,0,0,0,-0.04375
0,38,0.05,0.25,0,0,0,0,0,0.0125
0,39,0.275,0,0,0,0.04166667,0,0,0.05833333
0,40,0.05,0.3055556,0,0,0,0,0,0.0125
0,41,0.225,0.25,0,0,0.1729167,0,0.2380952,0.07254463
0,42,0.275,0,0,0,0.25,0,0.3194382,0.08610956
0,43,0.275,0.3611111,0.125,0,0.05,0.2857143,0.06734351,0.04183588
0,44,0.075,0.3611111,0,0,0,0,0,0.01875
0,45,0.05,0,0,0,0.025,0,0,0.00625
0,46,0.1,0.4722222,0,0,0,0,0,0.025
0,47,0.075,0,0.125,0,0,0,0,-0.0125
