Generation,ChromosomeIndex,Fitness_RectangleQuality,Fitness_CorridorQuality,Fitness_ConnectedQuality,Fitness_SumOfFitnessScore
Weight,-->,1,1,1,
Tactic_Bait,Tactic_Ambush,Tactic_TwoProngedAttack,Tactic_Defense,Tactic_Clash,
True * 1,False * 1,False * 1,False * 1,False * 1,
0,0,0.1935484,0.2903226,0.3333333,0.2724014
0,1,0.4210526,0.05263158,0.5833333,0.3523392
0,2,0.3333333,0.2666667,0.05555556,0.2185185
0,3,0.4634146,0.1463415,0.6363636,0.4153732
0,4,0.2285714,0.2285714,0.08333334,0.1801587
0,5,0.2352941,0.1764706,0.2083333,0.2066993
0,6,0.4516129,0.2258064,0.7333333,0.4702509
0,7,0.4848485,0.06060606,0.15,0.2318182
0,8,0.375,0.21875,0.4444444,0.3460648
0,9,0.4848485,0.1818182,0.4375,0.3680556
0,10,0.2857143,0.1142857,0.48,0.2933333
0,11,0.2857143,0.1714286,0.9583333,0.4718254
0,12,0.2580645,0.3548387,0.5263158,0.3797397
0,13,0.2941177,0.2647059,0.15,0.2362745
0,14,0.1875,0.0625,0.5,0.25
0,15,0.4666667,0.06666667,0.4444444,0.3259259
0,16,0.4878049,0.1951219,0.7142857,0.4657375
0,17,0.3448276,0.2068966,0.2777778,0.2765006
0,18,0.1875,0.28125,0.4090909,0.2926136
0,19,0.6470588,0.1176471,0.5333334,0.4326797
0,20,0.3225806,0.06451613,0.3636364,0.2502444
0,21,0.25,0.1111111,0.1923077,0.1844729
0,22,0.2758621,0.2068966,0.25,0.2442529
0,23,0.125,0.1875,0.5384616,0.2836539
0,24,0.1212121,0.2121212,0.6153846,0.3162393
0,25,0.3783784,0.2162162,0.5909091,0.3951679
0,26,0.4117647,0.1764706,0.65,0.4127451
0,27,0.3888889,0.05555556,0.5833333,0.3425926
0,28,0.3076923,0.1153846,0.4444444,0.2891738
0,29,0.2580645,0.1935484,0.5,0.3172043
0,30,0.3333333,0.3333333,0.4117647,0.3594771
0,31,0.5405405,0.05405406,0.3,0.2981982
0,32,0,0.3,0.44,0.2466667
0,33,0.1428571,0.3214286,0.3,0.2547619
0,34,0.1481481,0.3333333,0.5555556,0.345679
0,35,0.5,0.125,0.8823529,0.502451
