Generation,ChromosomeIndex,Fitness_RectangleQuality,Fitness_CorridorQuality,Fitness_ConnectedQuality,Fitness_SumOfFitnessScore
Weight,-->,1,0,1,
Tactic_Bait,Tactic_Ambush,Tactic_TwoProngedAttack,Tactic_Defense,Tactic_Clash,
True * 1,False * 1,False * 1,False * 1,False * 1,
1,17,0.125,0.1875,0.7307692,0.2852564
1,18,0.125,0.1875,0.7307692,0.2852564
1,19,0.125,0.1875,0.7307692,0.2852564
1,20,0.3870968,0.09677419,0.4736842,0.286927
1,21,0.1212121,0.1818182,0.7407407,0.2873176
1,22,0.3125,0.1875,0.55,0.2875
1,23,0.2285714,0.1142857,0.6538461,0.2941392
1,24,0.2285714,0.1142857,0.6538461,0.2941392
1,25,0.2285714,0.1142857,0.6538461,0.2941392
1,26,0.4761905,0.1428571,0.4285714,0.3015873
1,27,0.4761905,0.1428571,0.4285714,0.3015873
1,28,0.4761905,0.1428571,0.4285714,0.3015873
1,29,0.4761905,0.1428571,0.4285714,0.3015873
1,30,0.4761905,0.1428571,0.4285714,0.3015873
1,31,0.4324324,0.1081081,0.4782609,0.3035644
1,32,0.4324324,0.1081081,0.4782609,0.3035644
1,33,0.4324324,0.1081081,0.4782609,0.3035644
1,34,0.25,0.0625,0.68,0.31
1,35,0.5641026,0.1025641,0.368421,0.3108412
1,36,0.5,0.1875,0.4375,0.3125
1,37,0.5,0.1875,0.4375,0.3125
1,38,0.5,0.1875,0.4375,0.3125
1,39,0.2424242,0.1818182,0.7083333,0.3169192
1,40,0.2424242,0.1818182,0.7083333,0.3169192
1,41,0.2424242,0.1212121,0.72,0.3208081
1,42,0.6111111,0.05555556,0.3529412,0.3213508
1,43,0.5263158,0.2105263,0.4444444,0.3235868
1,44,0.2424242,0.1818182,0.75,0.3308081
1,45,0.5263158,0.1052632,0.55,0.358772
1,46,0.5263158,0.1052632,0.55,0.358772
1,47,0.5263158,0.1052632,0.55,0.358772
1,48,0.5454546,0.2121212,0.5333334,0.359596
1,49,0.3333333,0.1388889,0.75,0.3611111
1,50,0.5128205,0.1025641,0.5714286,0.3614164
1,51,0.4210526,0.2105263,0.6666667,0.3625731
1,52,0.5882353,0.2058824,0.5,0.3627451
1,53,0.5882353,0.2058824,0.5,0.3627451
1,54,0.4615385,0.2051282,0.65,0.3705128
1,55,0.4,0.1333333,0.7222222,0.3740741
1,56,0.4,0.1333333,0.7222222,0.3740741
1,57,0.4,0.1333333,0.7222222,0.3740741
1,58,0.4736842,0.1578947,0.65,0.3745614
1,59,0.375,0.125,0.75,0.375
1,60,0.3414634,0,0.8,0.3804878
1,61,0.3414634,0,0.8,0.3804878
1,62,0.3414634,0,0.8,0.3804878
1,63,0.3414634,0,0.8,0.3804878
1,64,0.3414634,0,0.8,0.3804878
1,65,0.5789474,0.05263158,0.5789474,0.3859649
1,66,0.4,0.05,0.7777778,0.3925926
1,67,0.4,0.05,0.7777778,0.3925926
1,68,0.4,0.05,0.7777778,0.3925926
1,69,0.4,0.05,0.7777778,0.3925926
1,70,0.4,0.05,0.7777778,0.3925926
1,71,0.4,0.05,0.7777778,0.3925926
1,72,0.4,0.05,0.7777778,0.3925926
1,73,0.4864865,0.1351351,0.7,0.3954955
1,74,0.5945946,0.05405406,0.6111111,0.4019019
1,75,0.5945946,0.05405406,0.6111111,0.4019019
1,76,0.5945946,0.05405406,0.6111111,0.4019019
1,77,0.5263158,0.131579,0.6842105,0.4035088
1,78,0.3870968,0.1935484,0.8333333,0.40681
1,79,0.3870968,0.1935484,0.8333333,0.40681
1,80,0.3870968,0.1935484,0.8333333,0.40681
1,81,0.3870968,0.1935484,0.8333333,0.40681
1,82,0.3870968,0.1935484,0.8333333,0.40681
1,83,0.4,0.2,0.8235294,0.4078431
1,84,0.6176471,0.2058824,0.6153846,0.4110106
1,85,0.4102564,0.2051282,0.85,0.4200855
1,86,0.4571429,0.05714286,0.8095238,0.4222222
1,87,0.5405405,0.05405406,0.7368421,0.4257942
1,88,0.4705882,0.1176471,0.8421053,0.4375645
1,89,0.4848485,0.06060606,0.8421053,0.4423179
1,90,0.5555556,0.05555556,0.7777778,0.4444444
1,91,0.5,0.0625,0.8333333,0.4444444
1,92,0.5128205,0.1794872,0.8421053,0.4516419
1,93,0.55,0.175,0.8235294,0.4578432
1,94,0.55,0.2,0.8333333,0.4611111
1,95,0.4761905,0,0.96,0.4787301
