Generation,ChromosomeIndex,Fitness_MainPathQuality,Fitness_Defense,Fitness_OnMainPath_EnemyTrap,Fitness_OnMainPath_Treasure,Fitness_BesideMainPath_EnemyTrap,Fitness_BesideMainPath_Treasure,Fitness_TwoPronged,Fitness_SumOfFitnessScore
Weight,-->,1,0,0,0,0,0,0,
MAX[1/ 1/ 1/ 0/ 0],min[1/ 1/ 4/ 1/ 1],,,,,,,,
0,0,0.05263158,0.25,0,0,0,0,0,0.01315789
0,1,0.131579,0,0,0,0,0,0,0.03289474
0,2,0.2105263,0,0,0,0,0,0,0.05263158
0,3,0.3947369,0,0.125,0,0.0625,0,0,0.05180921
0,4,0.07894737,0,0,0,0,0,0,0.01973684
0,5,0.1578947,0.25,0.125,0,0.08333334,0,0,-0.01260965
0,6,0.3421053,0,0,1,0.09375,0,0,0.06208882
0,7,0.368421,0.25,0,0,0.09375,0,0,0.06866776
0,8,0.05263158,0.25,0,0,0.1,0,0,-0.01184211
0,9,0.2894737,0,0.25,0,0.04166667,0,0,-0.0005482463
0,10,0.07894737,0.3055556,0,0,0,0,0,0.01973684
0,11,0.131579,0,0,0,0.08333334,0,0,0.0120614
0,12,0.1578947,0.25,0.125,0,0.1666667,0,0,-0.03344299
0,13,0.2368421,0.3611111,0,0,0,0,0,0.05921053
0,14,0.368421,0.25,0.125,0,0,1,0,0.06085526
0,15,0.05263158,0,0,0,0,0,0,0.01315789
0,16,0.4473684,0,0.25,0,0.1458333,0,0,0.01288377
0,17,0.07894737,0,0,0,0,0,0,0.01973684
0,18,0.368421,0,0,0,0.03125,0,0,0.08429276
0,19,0.2368421,0.1111111,0.125,1,0.1375,0,0,-0.006414473
0,20,0.368421,0,0,0,0.09375,0,0,0.06866776
0,21,0.3157895,0.25,0.125,0,0,0,0,0.04769737
0,22,0.05263158,0.25,0,0,0,0,0,0.01315789
0,23,0.05263158,0,0,0,0,0,0,0.01315789
0,24,0.3421053,0,0,1,0,0,0,0.08552632
0,25,0.3947369,0,0,0,0.25,0,0,0.03618421
0,26,0.05263158,0,0,0,0,0,0,0.01315789
0,27,0.1052632,0.4722222,0,0,0.04166667,0,0,0.01589912
0,28,0.4473684,0,0.125,0,0,0,0,0.0805921
0,29,0.3421053,0,0,0,0.0625,0,0,0.06990132
0,30,0.4736842,0.1111111,0.375,1,0.1666667,0,0.1904762,0.03062344
0,31,0.05263158,0.3611111,0,0,0.05,0,0,0.0006578946
0,32,0.1052632,0.25,0.125,0,0,0,0,-0.00493421
0,33,0.2368421,0.3611111,0,0,0.0625,0,0,0.04358553
0,34,0.2105263,0,0,0,0.0625,0,0,0.03700658
0,35,0.2894737,0,0.125,0,0.1458333,0,0.04761905,0.01656485
0,36,0.3947369,0.05555556,0.25,1,0,0,0,0.03618421
0,37,0.3947369,0,0.125,0,0,0,0,0.06743421
0,38,0.05263158,0,0,0,0,0,0,0.01315789
0,39,0.05263158,0,0,0,0,0,0,0.01315789
0,40,0.2105263,0,0,0,0.08333334,0,0,0.03179824
0,41,0.1842105,0.25,0,0,0.03125,0,0,0.03824013
0,42,0.2894737,0,0,0,0.09375,0,0,0.04893092
0,43,0.05263158,0,0,0,0.04166667,0,0,0.002741228
0,44,0.05263158,0.25,0,0,0,0,0,0.01315789
