Generation,ChromosomeIndex,Fitness_MainPathQuality,Fitness_Defense,Fitness_OnMainPath_EnemyTrap,Fitness_OnMainPath_Treasure,Fitness_BesideMainPath_EnemyTrap,Fitness_BesideMainPath_Treasure,Fitness_TwoPronged,Fitness_SumOfFitnessScore
Weight,-->,1,0,0,0,0,0,0,
MAX[1/ 1/ 1/ 0/ 1],min[1/ 1/ 4/ 1/ 1],,,,,,,,
0,0,0.1714286,0.25,0,0,0.0625,0,0,0.1404762
0,1,0.05714286,0.3055556,0,0,0,0,0,0.1208995
0,2,0.4285714,0.5277778,0.25,0,0.1540179,0,0.03367176,0.3187831
0,3,0.3714286,0.25,0.125,0,0.25,0.4,0,0.2071429
0,4,0.4571429,0.1666667,0.625,1,0,0,0.3095238,0.5412698
0,5,0.4,0.3055556,0.125,0,0,0,0,0.2351852
0,6,0.4,0.25,0,0,0.05357143,0.5,0,0.2166667
0,7,0.2,0.3055556,0.125,0,0.225,0,0,0.1685185
0,8,0.3714286,0,0,1,0.025,0,0,0.4571429
0,9,0.3428572,0.3611111,0.125,0,0.125,0.6,0,0.2346561
0,10,0.4285714,0.2222222,0.25,1,0,0,0.2380952,0.5502645
0,11,0.1142857,0.25,0,0,0,0,0,0.1214286
0,12,0.4571429,0,0,1,0,0,0,0.4857143
0,13,0.08571429,0.25,0,0,0,0,0,0.1119048
0,14,0.3142857,0.4166667,0,0,0.1625,0.4285714,0,0.2436508
0,15,0.3428572,0,0,1,0,0,0,0.4476191
0,16,0.1428571,0.4722222,0,0,0.1041667,0,0,0.2050264
0,17,0.08571429,0.25,0.25,0,0,0.1666667,0,0.1119048
0,18,0.3428572,0.6388889,0.25,0,0.09375,0.4285714,0.1387721,0.3272487
0,19,0.05714286,0.25,0,0,0,0,0,0.102381
0,20,0.3428572,0.3611111,0,0,0,0,0,0.2346561
0,21,0.4,0.1111111,0.125,1,0.125,0,0,0.5037037
0,22,0.3714286,0.25,0,0,0.2,0,0,0.2071429
0,23,0.2571429,0.25,0.125,0,0,0,0,0.1690476
0,24,0.4285714,0.25,0.125,0,0.26875,0,0,0.2261905
0,25,0.2,0.3611111,0.25,0,0,0,0,0.187037
0,26,0.4,0,0,1,0,0,0,0.4666667
0,27,0.05714286,0.25,0,0,0,0,0,0.102381
0,28,0.3714286,0.3055556,0.25,0,0.2854167,0,0.1387721,0.2256614
0,29,0.4,0.3611111,0.125,0,0.15,0,0,0.2537037
0,30,0.2285714,0.4722222,0.125,0,0,0.3333333,0.0952381,0.2335979
0,31,0.3142857,0.3611111,0,0,0,0,0,0.2251323
