Generation,ChromosomeIndex,Fitness_RectangleQuality,Fitness_CorridorQuality,Fitness_ConnectedQuality,Fitness_SumOfFitnessScore
Weight,-->,0,1,1,
Tactic_Bait,Tactic_Ambush,Tactic_TwoProngedAttack,Tactic_Defense,Tactic_Clash,
False * 1,False * 1,False * 1,False * 1,True * 1,
0,0,0.1333333,0.1333333,0.08,0.1066667
0,1,0.3888889,0.1111111,0.6956522,0.4033816
0,2,0.3636364,0.3030303,0.1111111,0.2070707
0,3,0.2564103,0.1794872,0.8148148,0.497151
0,4,0.2352941,0.1764706,0.4,0.2882353
0,5,0.368421,0.05263158,0.44,0.2463158
0,6,0.3125,0.1875,0.8571429,0.5223215
0,7,0,0.1724138,0.03846154,0.1054377
0,8,0,0.2962963,0.173913,0.2351047
0,9,0.137931,0.137931,0.2083333,0.1731322
0,10,0,0.06451613,0.3,0.1822581
0,11,0.4102564,0.05128205,0.2,0.125641
0,12,0.3030303,0,0.44,0.22
0,13,0,0,0.04347826,0.02173913
0,14,0.1764706,0.1764706,0.3461539,0.2613122
0,15,0.3030303,0.2424242,0.6190476,0.4307359
0,16,0.1428571,0.3214286,0.5,0.4107143
0,17,0.4705882,0.1764706,0.3888889,0.2826797
0,18,0.2857143,0.1142857,0.2,0.1571429
0,19,0.2666667,0.06666667,0.08695652,0.0768116
0,20,0.1290323,0.1935484,0.44,0.3167742
0,21,0.5945946,0,0.35,0.175
0,22,0.1481481,0.1481481,0.2272727,0.1877104
0,23,0.2941177,0.1764706,0.8695652,0.5230179
0,24,0.1764706,0.1470588,0.8461539,0.4966063
0,25,0.3,0,0.5483871,0.2741936
0,26,0.1428571,0.1785714,0.4090909,0.2938312
0,27,0.24,0.32,0.4,0.36
0,28,0.2666667,0.1333333,0.4090909,0.2712121
0,29,0.3448276,0.137931,0.3888889,0.26341
0,30,0.1935484,0.1290323,0.9583333,0.5436828
0,31,0.1666667,0.1666667,0.368421,0.2675439
0,32,0.4375,0.0625,0.45,0.25625
0,33,0.3225806,0.1290323,0.7142857,0.421659
0,34,0.4117647,0,0.4347826,0.2173913
0,35,0.4,0.05714286,0.5,0.2785714
0,36,0.25,0,0.72,0.36
0,37,0.4864865,0.1081081,0.2380952,0.1731017
0,38,0.1481481,0.3333333,0.5789474,0.4561403
0,39,0.2352941,0.3529412,0.2272727,0.290107
0,40,0.3888889,0.05555556,0.7391304,0.397343
0,41,0.2857143,0.2857143,0.3333333,0.3095238
0,42,0.1904762,0.2857143,0.06666667,0.1761905
0,43,0.1481481,0.1851852,0.1428571,0.1640212
0,44,0.25,0.125,0.625,0.375
0,45,0.3333333,0.1666667,0.2173913,0.192029
0,46,0.3448276,0.137931,0.3333333,0.2356322
0,47,0.1290323,0.3548387,0.5454546,0.4501466
0,48,0.1333333,0.3666667,0.5238096,0.4452381
