Generation,ChromosomeIndex,Fitness_MainPathQuality,Fitness_Defense,Fitness_OnMainPath_EnemyTrap,Fitness_OnMainPath_Treasure,Fitness_BesideMainPath_EnemyTrap,Fitness_BesideMainPath_Treasure,Fitness_TwoPronged,Fitness_SumOfFitnessScore
Weight,-->,1,0,0,0,0,0,0,
MAX[1/ 1/ 1/ 0/ 0],min[1/ 1/ 4/ 1/ 1],,,,,,,,
0,0,0.3095238,0,0.375,0,0,0,0,-0.01636904
0,1,0.2142857,0.25,0.125,0,0,0,0,0.02232143
0,2,0.2857143,0.25,0.25,0,0,0.4,0.02380952,0.01488096
0,3,0.1666667,0,0.125,0,0,0,0,0.01041667
0,4,0.1904762,0.3611111,0.375,0,0.05,0,0.02380952,-0.05267857
0,5,0.1190476,0,0,0,0.08333334,0,0,0.008928571
0,6,0.2619048,0,0.25,0,0.04166667,0,0,-0.007440473
0,7,0.1666667,0,0,0,0.08035714,0,0,0.02157738
0,8,0.452381,0,0.375,0,0,0,0,0.01934524
0,9,0.2142857,0.1111111,0,1,0.125,0,0,0.02232143
0,10,0.2619048,0,0,0,0.125,0,0,0.03422619
0,11,0.04761905,0.25,0,0,0,0,0,0.01190476
0,12,0.4047619,0,0.125,0,0.09375,0,0.2020305,0.09701061
0,13,0.3333333,0.1111111,0.125,1,0.1666667,0,0,0.01041667
0,14,0.452381,0,0,0,0.25,0,0,0.05059524
0,15,0.3095238,0,0,0,0.09375,0,0,0.05394346
0,16,0.3571429,0,0.125,0,0.1125,0,0,0.02991072
0,17,0.2857143,0.1111111,0,1,0.05,0,0,0.05892858
0,18,0.3571429,0,0.125,0,0.1833333,0,0.0812908,0.03252508
0,19,0.3571429,0.3055556,0.25,0,0,0.75,0,0.02678572
0,20,0.2142857,0,0.125,0,0,0,0,0.02232143
0,21,0.07142857,0,0,0,0,0,0,0.01785714
0,22,0.4285714,0,0.125,0,0.1666667,0,0,0.03422619
0,23,0.2619048,0.25,0,0,0.04166667,0,0,0.05505953
0,24,0.2619048,0,0.125,0,0.0625,0,0,0.01860119
0,25,0.2380952,0,0.125,0,0,0,0,0.02827381
0,26,0.2619048,0,0,0,0,0,0,0.06547619
0,27,0.1190476,0,0,0,0.125,0,0,-0.001488095
0,28,0.3571429,0.2222222,0.25,1,0.1875,0,0.03367176,-0.01167134
0,29,0.2857143,0,0,0,0.1666667,0,0,0.02976191
0,30,0.2619048,0,0,0,0.0625,0,0,0.04985119
0,31,0.3095238,0,0,0,0.175,0,0,0.03363096
0,32,0.452381,0.25,0,0,0.08333334,0.6666667,0,0.0922619
0,33,0.2380952,0,0.125,0,0,0,0,0.02827381
0,34,0.2857143,0.25,0,0,0.1083333,0,0,0.04434524
0,35,0.3095238,0.1111111,0.375,1,0.1125,0,0.02380952,-0.03854166
0,36,0.1428571,0.3611111,0,0,0,0,0,0.03571429
0,37,0.04761905,0,0,0,0,0,0,0.01190476
0,38,0.2619048,0,0,0,0.15,0,0.07142857,0.04583333
0,39,0.2619048,0.25,0,0,0,0.6666667,0,0.06547619
0,40,0.04761905,0.25,0,0,0,0,0,0.01190476
0,41,0.2380952,0,0.125,0,0.1125,0,0.03367176,0.008566749
0,42,0.2142857,0.3611111,0,0,0.1964286,0,0.07142857,0.02232143
