Generation,ChromosomeIndex,Fitness_MainPathQuality,Fitness_Defense,Fitness_OnMainPath_EnemyTrap,Fitness_OnMainPath_Treasure,Fitness_BesideMainPath_EnemyTrap,Fitness_BesideMainPath_Treasure,Fitness_TwoPronged,Fitness_SumOfFitnessScore
Weight,-->,1,0,0,0,0,0,0,
MAX[1/ 1/ 1/ 0/ 0],min[1/ 1/ 4/ 1/ 0],,,,,,,,
0,0,0.3055556,0,0,0,0,0,0,0.1018519
0,1,0.3888889,0,0.125,0,0.0625,0,0,0.06712963
0,2,0.1666667,0,0.25,0,0.04166667,0,0,-0.04166666
0,3,0.3888889,0,0.125,0,0.125,0,0,0.0462963
0,4,0.4166667,0,0,0,0.1458333,0,0,0.09027777
0,5,0.1388889,0,0,0,0,0,0,0.0462963
0,6,0.3333333,0,0.125,0,0,0,0,0.06944445
0,7,0.3888889,0,0.25,0,0.08333334,0,0,0.01851852
0,8,0.3888889,0,0,0,0.2083333,0,0,0.06018518
0,9,0.05555556,0,0,0,0.05,0,0,0.001851852
0,10,0.3888889,0,0,0,0,0,0,0.1296296
0,11,0.1944444,0,0.125,0,0,0,0,0.02314815
0,12,0.3611111,0,0.125,0,0.1666667,0,0,0.02314814
0,13,0.3888889,0,0.125,0,0.09375,0,0,0.05671297
0,14,0.3055556,0,0.125,0,0.08333334,0,0,0.03240741
0,15,0.4166667,0,0.125,0,0,0,0,0.09722222
0,16,0.05555556,0,0,0,0,0,0,0.01851852
0,17,0.4166667,0,0.25,0,0,0,0,0.05555555
0,18,0.3333333,0,0.125,0,0,0,0,0.06944445
0,19,0.1111111,0,0,0,0.0625,0,0,0.0162037
0,20,0.3333333,0,0,0,0.04166667,0,0,0.09722222
0,21,0.3055556,0,0.25,0,0,0,0,0.01851852
0,22,0.3333333,0,0,0,0.15625,0,0,0.05902778
0,23,0.08333334,0,0,0,0.05,0,0,0.01111111
0,24,0.3333333,0,0,0,0.0625,0,0,0.09027778
0,25,0.3055556,0,0,0,0,0,0,0.1018519
0,26,0.2222222,0,0.25,0,0,0,0.04761905,-0.009259258
0,27,0.25,0,0,0,0.15,0,0,0.03333333
0,28,0.1388889,0,0,0,0,0,0,0.0462963
0,29,0.3055556,0,0,0,0,0,0,0.1018519
0,30,0.3611111,0,0.125,0,0,0,0,0.0787037
0,31,0.3055556,0,0,0,0,0,0,0.1018519
0,32,0.3888889,0,0.125,0,0,0,0,0.08796296
0,33,0.3333333,0,0,0,0,0,0,0.1111111
0,34,0.3333333,0,0,0,0.1964286,0,0,0.04563493
0,35,0.2222222,0,0,0,0,0,0,0.07407407
0,36,0.3888889,0,0.125,0,0,0,0,0.08796296
0,37,0.3055556,0,0,0,0.03125,0,0,0.09143519
0,38,0.4166667,0,0,0,0.2291667,0,0,0.0625
0,39,0.3611111,0,0,0,0.025,0,0,0.112037
0,40,0.2777778,0,0,0,0.275,0,0,0.0009259284
0,41,0.3611111,0,0.125,0,0.1458333,0,0,0.03009259
0,42,0.1666667,0,0,0,0,0,0,0.05555556
0,43,0.1111111,0,0,0,0,0,0,0.03703704
0,44,0.3055556,0,0.125,0,0.1339286,0,0.0952381,0.01554233
0,45,0.1944444,0,0,0,0,0,0,0.06481481
0,46,0.1944444,0,0,0,0,0,0,0.06481481
0,47,0.1111111,0,0,0,0,0,0,0.03703704
0,48,0.4444444,0,0,0,0.08333334,0,0,0.1203704
0,49,0.05555556,0,0,0,0,0,0,0.01851852
0,50,0.3888889,0,0.125,0,0,0,0,0.08796296
0,51,0.05555556,0,0,0,0,0,0,0.01851852
0,52,0.3055556,0,0.125,0,0,0,0,0.06018518
0,53,0.1388889,0,0.25,0,0,0,0,-0.03703703
0,54,0.3888889,0,0.25,0,0.03125,0,0.05323971,0.03587963
0,55,0.3055556,0,0,0,0.075,0,0,0.07685185
0,56,0.3333333,0,0,0,0.0625,0,0,0.09027778
0,57,0.05555556,0,0,0,0.02083333,0,0,0.01157407
0,58,0.2777778,0,0,0,0,0,0,0.0925926
0,59,0.1111111,0,0,0,0,0,0,0.03703704
0,60,0.3055556,0,0.25,0,0.1369048,0,0,-0.0271164
0,61,0.2777778,0,0,0,0,0,0,0.0925926
0,62,0.05555556,0,0,0,0,0,0,0.01851852
0,63,0.3888889,0,0,0,0.09375,0,0,0.09837963
0,64,0.3055556,0,0.375,0,0,0,0.04761905,-0.02314815
0,65,0.3888889,0,0.125,0,0.3482143,0,0.07142857,-0.02810846
0,66,0.3055556,0,0.125,0,0.05357143,0,0,0.04232804
0,67,0.3611111,0,0.125,0,0,0,0,0.0787037
0,68,0.3333333,0,0,0,0.09642857,0,0,0.07896826
0,69,0.1111111,0,0,0,0.125,0,0,-0.004629629
0,70,0.3333333,0,0,0,0.09642857,0,0,0.07896826
0,71,0.3333333,0,0.125,0,0.0625,0,0.2857143,0.04861112
0,72,0.3333333,0,0,0,0.025,0,0,0.1027778
0,73,0.05555556,0,0,0,0.04166667,0,0,0.004629629
0,74,0.25,0,0,0,0.1071429,0,0,0.04761905
0,75,0.3611111,0,0.125,0,0,0,0,0.0787037
0,76,0.3888889,0,0,0,0.0625,0,0,0.1087963
0,77,0.05555556,0,0,0,0.09821428,0,0,-0.01421958
0,78,0.3333333,0,0.125,0,0.07857143,0,0,0.04325397
0,79,0.2777778,0,0.125,0,0.15,0,0,0.0009259284
0,80,0.3333333,0,0,0,0.03571429,0,0,0.09920635
0,81,0.3611111,0,0,0,0.03571429,0,0,0.1084656
0,82,0.4166667,0,0,0,0.09375,0,0,0.1076389
0,83,0.1666667,0,0.125,0,0,0,0,0.01388889
0,84,0.3333333,0,0.125,0,0.025,0,0,0.06111111
0,85,0.3055556,0,0,0,0,0,0,0.1018519
0,86,0.05555556,0,0,0,0,0,0,0.01851852
0,87,0.3333333,0,0,0,0,0,0,0.1111111
0,88,0.2222222,0,0.125,0,0,0,0,0.03240741
0,89,0.2777778,0,0.125,0,0.0625,0,0,0.0300926
0,90,0.3055556,0,0,0,0,0,0,0.1018519
0,91,0.3333333,0,0.25,0,0.08928572,0,0,-0.001984124
0,92,0.1944444,0,0.5,0,0.09375,0,0.1428571,-0.1331019
0,93,0.3055556,0,0.25,0,0.08333334,0,0.0952381,-0.009259261
0,94,0.3055556,0,0.25,0,0.1458333,0,0.07142857,-0.0300926
0,95,0.3888889,0,0,0,0.1458333,0,0,0.08101851
0,96,0.3333333,0,0.125,0,0.025,0,0,0.06111111
0,97,0.3611111,0,0,0,0.09375,0,0,0.08912037
0,98,0.3888889,0,0.25,0,0.03571429,0,0,0.03439154
0,99,0.2777778,0,0.125,0,0.04166667,0,0,0.03703704
1,0,0.3888889,0,0.125,0,0,0,0,0.08796296
1,1,0.3888889,0,0.125,0,0,0,0,0.08796296
1,2,0.3888889,0,0.125,0,0,0,0,0.08796296
1,3,0.3888889,0,0.125,0,0,0,0,0.08796296
1,4,0.3888889,0,0.125,0,0,0,0,0.08796296
1,5,0.3888889,0,0.125,0,0,0,0,0.08796296
1,6,0.3611111,0,0,0,0.09375,0,0,0.08912037
1,7,0.3055556,0,0,0,0.03571429,0,0,0.08994709
1,8,0.4166667,0,0,0,0.1458333,0,0,0.09027777
1,9,0.3333333,0,0,0,0.0625,0,0,0.09027778
1,10,0.3333333,0,0,0,0.0625,0,0,0.09027778
1,11,0.3333333,0,0,0,0.0625,0,0,0.09027778
1,12,0.3055556,0,0,0,0.03125,0,0,0.09143519
1,13,0.3055556,0,0,0,0.03125,0,0,0.09143519
1,14,0.3055556,0,0,0,0.03125,0,0,0.09143519
1,15,0.3611111,0,0,0,0.08333334,0,0,0.09259259
1,16,0.2777778,0,0,0,0,0,0,0.0925926
1,17,0.2777778,0,0,0,0,0,0,0.0925926
1,18,0.2777778,0,0,0,0,0,0,0.0925926
1,19,0.2777778,0,0,0,0,0,0,0.0925926
1,20,0.2777778,0,0,0,0,0,0,0.0925926
1,21,0.2777778,0,0,0,0,0,0,0.0925926
1,22,0.2777778,0,0,0,0,0,0,0.0925926
